		 data/process/pom3d.csv 		
#
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.50,  0.61,  *---               |                   ,  0.00,  3.50
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.51,  0.53,  *--                |                   ,  0.00,  2.71
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.54,  0.52,  *--                |                   ,  0.00,  4.28
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.54,  0.60,  *---               |                   ,  0.00,  3.90
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.55,  0.65,  *--                |                   ,  0.00, 11.16
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.56,  0.57, -*--                |                   ,  0.00,  2.97
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.56,  0.59, -*---               |                   ,  0.00,  8.05
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.57,  0.61, -*--                |                   ,  0.00,  4.23
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.57,  0.69,  * --               |                   ,  0.00,  2.93
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.59,  0.61, -*---               |                   ,  0.00,  3.11
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.60,  0.76,  * ---              |                   ,  0.00,  4.84
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.60,  0.74, -* --               |                   ,  0.00,  4.41
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.60,  0.62, -*---               |                   ,  0.00, 12.13
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.60,  0.65, -* -                |                   ,  0.00, 12.34
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.63,  0.61, -* --               |                   ,  0.00,  5.14
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.63,  0.73, -* ---              |                   ,  0.00,  3.27
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.63,  0.63, -* -                |                   ,  0.00,  3.24
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.65,  0.64, - *-                |                   ,  0.00,  3.77
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.65,  0.67, - *--               |                   ,  0.00, 12.41
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.65,  0.75, - *--               |                   ,  0.00,  3.61
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.65,  0.69, - *--               |                   ,  0.00,  4.22
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.66,  0.65, - *--               |                   ,  0.00, 12.71
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.66,  0.65, - *-                |                   ,  0.00, 12.12
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.67,  0.69, - *-                |                   ,  0.00,  2.83
