		 data/misc/rs-6d-c3_obj1.csv 		
#
 0, st:0.5_m:0_rows:3840_x6_how:k2,  0.14,  0.31,  *  ---             |                   ,  0.00,  2.91
 0, st:0.25_m:100_rows:3840_x6_how:k2,  0.15,  0.29,  *  --------        |                   ,  0.00,  3.17
 0, st:0.25_m:0_rows:3840_x6_how:k2,  0.15,  0.31,  *  -------         |                   ,  0.00,  3.02
 0, st:0.25_m:50_rows:3840_x6_how:k2,  0.18,  0.32,   * ---------       |                   ,  0.00,  2.95
 0, st:0.5_m:100_rows:3840_x6_how:k2,  0.18,  0.31,   * ------          |                   ,  0.00,  3.33
 0, st:0.5_m:0_rows:3840_x6_how:k3,  0.18,  0.29,   * ------          |                   ,  0.00,  2.58
 0, st:0.5_m:100_rows:3840_x6_how:k5,  0.18,  0.25,   *--------         |                   ,  0.00,  3.09
 0, st:0.25_m:0_rows:3840_x6_how:k3,  0.19,  0.29,   * -------         |                   ,  0.00,  2.95
 0, st:0.25_m:0_rows:3840_x6_how:k5,  0.19,  0.31,   * ------          |                   ,  0.00,  2.63
 0, st:0.5_m:50_rows:3840_x6_how:k2,  0.20,  0.32,   * --------        |                   ,  0.00,  3.25
 0, st:0.25_m:100_rows:3840_x6_how:k5,  0.20,  0.30,   * -------         |                   ,  0.00,  3.07
 0, st:0.25_m:100_rows:3840_x6_how:k3,  0.20,  0.31, - * ------          |                   ,  0.00,  3.09
 0, st:0.5_m:0_rows:3840_x6_how:k5,  0.21,  0.29, - * -----           |                   ,  0.00,  2.68
 0, st:0.5_m:50_rows:3840_x6_how:k3,  0.21,  0.29, - * -------         |                   ,  0.00,  3.05
 0, st:0.25_m:50_rows:3840_x6_how:k3,  0.21,  0.33,   * --------        |                   ,  0.00,  2.96
 0, st:0.5_m:100_rows:3840_x6_how:k3,  0.22,  0.29, - * --------        |                   ,  0.00,  2.80
 0, st:0.5_m:50_rows:3840_x6_how:k5,  0.23,  0.33, - *  -------        |                   ,  0.00,  3.15
 0, st:0.25_m:50_rows:3840_x6_how:k5,  0.24,  0.32, - *  -------        |                   ,  0.00,  3.16
#
 1, st:0.5_m:0_rows:3840_x6_how:avearge,  0.29,  0.36, -- *  ------        |                   ,  0.00,  3.00
 1, st:0.25_m:0_rows:3840_x6_how:avearge,  0.31,  0.41, -  *  -------       |                   ,  0.00,  2.64
 1, st:0.25_m:100_rows:3840_x6_how:avearge,  0.34,  0.45, --  *  ---------    |                   ,  0.00,  2.92
 1, st:0.5_m:100_rows:3840_x6_how:avearge,  0.36,  0.46, --  *  ---------    |                   ,  0.00,  3.07
 1, st:0.5_m:50_rows:3840_x6_how:avearge,  0.43,  0.53, --   *  --------    |                   ,  0.00,  2.84
 1, st:0.25_m:50_rows:3840_x6_how:avearge,  0.43,  0.49,  -   *  ---------   |                   ,  0.00,  3.08
