		 data/misc/sol-6d-c2-obj1.csv 		
#
 0, st:0.25_m:0_rows:2866_x6_how:k5,  0.06,  0.24, * -----             |                   ,  0.00,  3.46
 0, st:0.5_m:0_rows:2866_x6_how:k3,  0.06,  0.22, * ------            |                   ,  0.00,  3.08
 0, st:0.25_m:0_rows:2866_x6_how:k3,  0.06,  0.23, * ------            |                   ,  0.00,  3.00
 0, st:0.25_m:0_rows:2866_x6_how:k2,  0.07,  0.26, * -----             |                   ,  0.00,  4.54
 0, st:0.5_m:0_rows:2866_x6_how:k5,  0.07,  0.31, *  -----            |                   ,  0.00,  2.91
 0, st:0.5_m:0_rows:2866_x6_how:k2,  0.07,  0.28, * ----              |                   ,  0.00,  1.99
 0, st:0.5_m:100_rows:2866_x6_how:k2,  0.18,  0.62,  *   ------         |                   ,  0.00,  3.30
#
 1, st:0.25_m:100_rows:2866_x6_how:k5,  0.24,  0.63,   *  -----          |                   ,  0.00,  3.75
 1, st:0.25_m:100_rows:2866_x6_how:k3,  0.24,  0.56,   *  -----          |                   ,  0.00,  2.68
 1, st:0.25_m:100_rows:2866_x6_how:k2,  0.26,  0.61,   *  ------         |                   ,  0.00,  3.10
 1, st:0.5_m:100_rows:2866_x6_how:k3,  0.26,  0.64,   *   -----         |                   ,  0.00,  3.51
#
 2, st:0.5_m:100_rows:2866_x6_how:k5,  0.32,  0.68,   *   -----         |                   ,  0.00,  3.08
 2, st:0.25_m:50_rows:2866_x6_how:k2,  0.33,  0.64,   *   ------        |                   ,  0.00,  3.80
 2, st:0.5_m:50_rows:2866_x6_how:k5,  0.37,  0.68,    *  ----          |                   ,  0.00,  2.79
 2, st:0.5_m:50_rows:2866_x6_how:k3,  0.39,  0.64,    *  -----         |                   ,  0.00,  3.33
 2, st:0.25_m:50_rows:2866_x6_how:k5,  0.39,  0.70, -  *   -----        |                   ,  0.00,  4.01
 2, st:0.5_m:50_rows:2866_x6_how:k2,  0.40,  0.68,    *  ------        |                   ,  0.00,  2.89
 2, st:0.25_m:50_rows:2866_x6_how:k3,  0.40,  0.80,    *   -----        |                   ,  0.00,  3.11
#
 3, st:0.25_m:0_rows:2866_x6_how:avearge,  0.59,  0.58, --   * ---          |                   ,  0.00,  2.72
 3, st:0.25_m:100_rows:2866_x6_how:avearge,  0.60,  0.61, --   * ----         |                   ,  0.00,  3.30
 3, st:0.5_m:100_rows:2866_x6_how:avearge,  0.61,  0.65, --   * -----        |                   ,  0.00,  3.40
 3, st:0.5_m:0_rows:2866_x6_how:avearge,  0.61,  0.61, --   * ----         |                   ,  0.00,  2.89
 3, st:0.5_m:50_rows:2866_x6_how:avearge,  0.65,  0.55, ---  *  ----        |                   ,  0.00,  3.61
 3, st:0.25_m:50_rows:2866_x6_how:avearge,  0.68,  0.58, ---  *  ----        |                   ,  0.00,  3.63
