		 data/misc/wc+rs-3d-c4-obj1.csv 		
#
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.34,  0.62, -  *   -----        |                   ,  0.00,  3.85
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.39,  0.62, -  *    ----        |                   ,  0.00,  3.85
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.42,  0.61, --  *   -----       |                   ,  0.00,  4.02
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.44,  0.64, --  *   -----       |                   ,  0.00,  2.89
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.45,  0.58, --  *   ----        |                   ,  0.00,  3.05
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.45,  0.62, --  *   ----        |                   ,  0.00,  3.80
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.45,  0.51, --  *  -----        |                   ,  0.00,  3.04
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.47,  0.47, --  *  ------       |                   ,  0.00,  2.99
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.48,  0.62, --  *   -----       |                   ,  0.00,  4.02
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.48,  0.66, --  *   ----        |                   ,  0.00,  2.59
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.49,  0.69, --  *    -----      |                   ,  0.00,  3.20
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.49,  0.62, --  *   -----       |                   ,  0.00,  3.44
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.49,  0.65, --  *   -----       |                   ,  0.00,  3.85
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.50,  0.56, --  *   -------     |                   ,  0.00,  3.85
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.53,  0.72, -    *   ----       |                   ,  0.00,  4.02
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.53,  0.61, --   *  -----       |                   ,  0.00,  3.45
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.54,  0.65, --   *  ----        |                   ,  0.00,  2.56
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.56,  0.63, --   *  ----        |                   ,  0.00,  3.23
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.56,  0.63, --   *   ----       |                   ,  0.00,  3.20
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.58,  0.67, --   *  -----       |                   ,  0.00,  3.83
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.64,  0.65, --    * -----       |                   ,  0.00,  3.32
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.65,  0.62, --    * -----       |                   ,  0.00,  2.79
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.65,  0.58,  --   *  ----       |                   ,  0.00,  2.63
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.68,  0.59,  --   * ----        |                   ,  0.00,  2.82
