		 data/misc/wc+sol-3d-c4-obj1.csv 		
#
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.33,  0.63, -  *   -----        |                   ,  0.00,  3.72
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.45,  0.49, --  *  ------       |                   ,  0.00,  3.39
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.45,  0.50, --  *  -------      |                   ,  0.00,  4.11
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.45,  0.64, -   *   ----        |                   ,  0.00,  3.77
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.48,  0.64, --  *   ----        |                   ,  0.00,  3.17
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.49,  0.60, --  *   -----       |                   ,  0.00,  3.76
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.49,  0.60, --  *   ----        |                   ,  0.00,  3.83
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.50,  0.65, --  *   -----       |                   ,  0.00,  3.77
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.52,  0.63, --   *   ------     |                   ,  0.00,  3.61
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.52,  0.65, --   *  ----        |                   ,  0.00,  3.76
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.53,  0.64, --   *  -----       |                   ,  0.00,  3.36
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.54,  0.68, --   *  -----       |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.55,  0.74, --   *   -----      |                   ,  0.00,  3.71
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.58,  0.68, --   *  ----        |                   ,  0.00,  3.44
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.59,  0.75, --   *   ----       |                   ,  0.00,  3.85
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.59,  0.65, --   *  ----        |                   ,  0.00,  3.86
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.60,  0.69, --   *  ----        |                   ,  0.00,  3.74
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.62,  0.70, --   *   ---        |                   ,  0.00,  3.63
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.62,  0.72, --    *  -----      |                   ,  0.00,  3.58
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.63,  0.72, --    *  ----       |                   ,  0.00,  3.81
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.66,  0.67, --    *  ---        |                   ,  0.00,  2.89
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.70,  0.71, --    *  ---        |                   ,  0.00,  3.63
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.73,  0.62,  --    * ---        |                   ,  0.00,  3.67
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.74,  0.61,  --    * ---        |                   ,  0.00,  3.04
