		 data/misc/wc+wc-3d-c4-obj1.csv 		
#
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.36,  0.67, -  *    ----        |                   ,  0.00,  4.04
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.47,  0.73, --  *    ----       |                   ,  0.01,  4.08
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.49,  0.69, --  *    ---        |                   ,  0.00,  4.04
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.49,  0.73, -   *    ---        |                   ,  0.00,  4.12
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.49,  0.51, --- *  ------       |                   ,  0.00,  3.68
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.50,  0.49,  -  *  -------      |                   ,  0.00,  4.17
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.51,  0.66, --  *   ----        |                   ,  0.00,  2.68
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.52,  0.62, --   *  -------     |                   ,  0.00,  3.28
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.53,  0.70, --   *   ---        |                   ,  0.00,  4.04
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.54,  0.69, --   *   ---        |                   ,  0.00,  4.06
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.54,  0.73, --   *   ----       |                   ,  0.00,  4.05
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.55,  0.72, --   *   ---        |                   ,  0.00,  3.96
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.56,  0.62, ---  *  ------      |                   ,  0.00,  2.80
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.56,  0.68, --   *   ---        |                   ,  0.00,  3.45
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.57,  0.68, --   *   ---        |                   ,  0.00,  3.13
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.58,  0.72, --   *   ---        |                   ,  0.00,  3.19
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.61,  0.80, --   *    ----      |                   ,  0.00,  4.08
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.61,  0.68, --   *   ---        |                   ,  0.00,  3.96
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.64,  0.70, ---   *  -----      |                   ,  0.00,  2.94
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.66,  0.69, --    *  ---        |                   ,  0.00,  3.96
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.70,  0.66, ---   *  ---        |                   ,  0.00,  2.56
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.70,  0.70, --    *  ---        |                   ,  0.00,  3.74
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.76,  0.61,  --    * ---        |                   ,  0.01,  4.02
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.76,  0.60,  --    * ---        |                   ,  0.01,  2.79
