		 data/misc/wc-6d-c1-obj1.csv 		
#
 0, st:0.25_m:0_rows:2880_x6_how:k2,  0.25,  0.35, - * --------        |                   ,  0.00,  2.96
 0, st:0.5_m:0_rows:2880_x6_how:k2,  0.29,  0.37, - * -------         |                   ,  0.00,  2.58
 0, st:0.25_m:0_rows:2880_x6_how:k3,  0.30,  0.32, - * --------        |                   ,  0.00,  3.14
 0, st:0.5_m:0_rows:2880_x6_how:k3,  0.30,  0.40, -  * -------        |                   ,  0.00,  2.91
 0, st:0.5_m:0_rows:2880_x6_how:k5,  0.31,  0.34, -  * -------        |                   ,  0.00,  2.43
 0, st:0.25_m:0_rows:2880_x6_how:k5,  0.31,  0.36, -  * ------         |                   ,  0.00,  2.65
 0, st:0.25_m:100_rows:2880_x6_how:k2,  0.40,  0.72, -   *    -----      |                   ,  0.00,  2.93
 0, st:0.25_m:50_rows:2880_x6_how:k2,  0.43,  0.69, -   *   --------    |                   ,  0.00,  3.76
 0, st:0.5_m:100_rows:2880_x6_how:k5,  0.43,  0.62, --  *   ------      |                   ,  0.00,  3.84
 0, st:0.25_m:100_rows:2880_x6_how:k3,  0.43,  0.58, --  *   ------      |                   ,  0.00,  2.91
 0, st:0.5_m:50_rows:2880_x6_how:k3,  0.45,  0.66, --  *   -------     |                   ,  0.00,  3.93
 0, st:0.5_m:100_rows:2880_x6_how:k3,  0.45,  0.61, -   *   -----       |                   ,  0.00,  3.15
 0, st:0.5_m:50_rows:2880_x6_how:k2,  0.46,  0.74, -   *    -----      |                   ,  0.00,  3.13
 0, st:0.5_m:100_rows:2880_x6_how:k2,  0.46,  0.70, -   *    -----      |                   ,  0.00,  3.31
 0, st:0.25_m:100_rows:2880_x6_how:k5,  0.48,  0.63, --  *   ------      |                   ,  0.00,  3.08
 0, st:0.25_m:50_rows:2880_x6_how:k5,  0.49,  0.68, --  *    -----      |                   ,  0.00,  3.96
 0, st:0.5_m:50_rows:2880_x6_how:k5,  0.50,  0.64, --   *   ------     |                   ,  0.00,  3.70
 0, st:0.25_m:50_rows:2880_x6_how:k3,  0.56,  0.64, --   *   ------     |                   ,  0.00,  3.58
 0, st:0.5_m:100_rows:2880_x6_how:avearge,  0.58,  0.53,  --  *   -----      |                   ,  0.00,  3.68
 0, st:0.5_m:0_rows:2880_x6_how:avearge,  0.63,  0.47,  --   * -----       |                   ,  0.01,  2.55
 0, st:0.25_m:0_rows:2880_x6_how:avearge,  0.64,  0.48,  --   * ------      |                   ,  0.00,  3.12
 0, st:0.5_m:50_rows:2880_x6_how:avearge,  0.65,  0.56,  ---  *  ------     |                   ,  0.01,  3.29
 0, st:0.25_m:50_rows:2880_x6_how:avearge,  0.69,  0.56,  ---  *  ------     |                   ,  0.00,  3.78
 0, st:0.25_m:100_rows:2880_x6_how:avearge,  0.70,  0.59,  ---   *  ----      |                   ,  0.00,  3.19
