		 data/config/Apache_AllMeasurements.csv 		
#
 0, st:0.25_m:100_rows:192_x9_how:k5,  0.26,  0.41, -  *  --------------|                   ,  0.00,  3.40
 0, st:0.25_m:0_rows:192_x9_how:k2,  0.29,  0.50, -  *   --------     |                   ,  0.00,  2.95
 0, st:0.25_m:50_rows:192_x9_how:k3,  0.29,  0.36, -  * ----------     |                   ,  0.00,  2.51
 0, st:0.5_m:0_rows:192_x9_how:k2,  0.30,  0.43, -  *  --------      |                   ,  0.00,  2.64
 0, st:0.25_m:0_rows:192_x9_how:k3,  0.31,  0.44, -  *  ------        |                   ,  0.00,  2.45
 0, st:0.25_m:100_rows:192_x9_how:k3,  0.31,  0.44, -  *  --------------|                   ,  0.00,  3.08
 0, st:0.25_m:50_rows:192_x9_how:k2,  0.31,  0.44, -  *  ----------    |                   ,  0.00,  2.39
 0, st:0.5_m:100_rows:192_x9_how:k2,  0.31,  0.44, -  *  --------------|                   ,  0.00,  2.64
 0, st:0.5_m:100_rows:192_x9_how:k3,  0.31,  0.41, -  *  --------------|                   ,  0.00,  2.57
 0, st:0.5_m:100_rows:192_x9_how:k5,  0.31,  0.39, -- *  --------------|-                  ,  0.00,  2.70
 0, st:0.5_m:50_rows:192_x9_how:k2,  0.31,  0.41, -  *  --------------|                   ,  0.00,  3.20
 0, st:0.25_m:50_rows:192_x9_how:k5,  0.34,  0.44, -- *   ----------   |                   ,  0.00,  2.57
 0, st:0.5_m:0_rows:192_x9_how:k3,  0.34,  0.44, -   *  -----        |                   ,  0.00,  2.75
 0, st:0.5_m:50_rows:192_x9_how:k3,  0.34,  0.47, -   *  -------------|                   ,  0.00,  3.29
 0, st:0.5_m:0_rows:192_x9_how:k5,  0.35,  0.42, --  * --------      |                   ,  0.00,  2.63
 0, st:0.5_m:50_rows:192_x9_how:k5,  0.35,  0.42, --  *  -----------  |                   ,  0.00,  3.06
 0, st:0.25_m:0_rows:192_x9_how:k5,  0.38,  0.38, --  * ------        |                   ,  0.00,  2.67
 0, st:0.25_m:100_rows:192_x9_how:k2,  0.38,  0.44, --  *  -------------|                   ,  0.00,  2.89
 0, st:0.25_m:100_rows:192_x9_how:avearge,  0.38,  0.48, --  *   ----------  |                   ,  0.00,  2.64
 0, st:0.5_m:100_rows:192_x9_how:avearge,  0.38,  0.63, --  *    -----------|                   ,  0.00,  2.89
#
 1, st:0.5_m:50_rows:192_x9_how:avearge,  0.54,  0.69, --    *    -------- |                   ,  0.00,  2.92
 1, st:0.25_m:50_rows:192_x9_how:avearge,  0.56,  0.70,  --   *    -------  |                   ,  0.00,  2.52
#
 2, st:0.25_m:0_rows:192_x9_how:avearge,  0.75,  0.52,   ---   *  -------  |                   ,  0.01,  2.49
 2, st:0.5_m:0_rows:192_x9_how:avearge,  0.79,  0.54,   ----   *  ------  |                   ,  0.00,  2.62
