		 data/misc/HSMGP_num.csv 		
#
 0, st:0.25_m:0_rows:3456_x14_how:k5,  0.02,  0.02, *                   |                   ,  0.00,  1.89
 0, st:0.25_m:0_rows:3456_x14_how:k2,  0.02,  0.03, *                   |                   ,  0.00,  1.24
 0, st:0.5_m:0_rows:3456_x14_how:k2,  0.02,  0.03, *                   |                   ,  0.00,  0.99
 0, st:0.25_m:0_rows:3456_x14_how:k3,  0.02,  0.03, *                   |                   ,  0.00,  0.88
 0, st:0.5_m:0_rows:3456_x14_how:k5,  0.02,  0.03, *                   |                   ,  0.00,  1.42
 0, st:0.5_m:0_rows:3456_x14_how:k3,  0.02,  0.03, *                   |                   ,  0.00,  2.39
 0, st:0.5_m:100_rows:3456_x14_how:k3,  0.03,  0.04, *-                  |                   ,  0.00,  2.67
 0, st:0.25_m:100_rows:3456_x14_how:k5,  0.04,  0.04, *--                 |                   ,  0.00,  2.54
 0, st:0.25_m:100_rows:3456_x14_how:k3,  0.04,  0.05, *-                  |                   ,  0.00,  1.55
 0, st:0.5_m:100_rows:3456_x14_how:k5,  0.04,  0.04, *-                  |                   ,  0.00,  2.70
 0, st:0.25_m:100_rows:3456_x14_how:k2,  0.04,  0.04, *-                  |                   ,  0.00,  2.32
 0, st:0.5_m:50_rows:3456_x14_how:k3,  0.04,  0.05, *-                  |                   ,  0.00,  2.55
 0, st:0.25_m:50_rows:3456_x14_how:k5,  0.04,  0.05, *--                 |                   ,  0.00,  2.80
 0, st:0.25_m:50_rows:3456_x14_how:k2,  0.04,  0.05, *                   |                   ,  0.00,  1.85
 0, st:0.5_m:100_rows:3456_x14_how:k2,  0.04,  0.04, *-                  |                   ,  0.00,  1.66
 0, st:0.5_m:50_rows:3456_x14_how:k2,  0.04,  0.05, *--                 |                   ,  0.00,  2.32
 0, st:0.25_m:50_rows:3456_x14_how:k3,  0.05,  0.05, *--                 |                   ,  0.00,  2.49
 0, st:0.5_m:0_rows:3456_x14_how:avearge,  0.05,  0.05, *--                 |                   ,  0.00,  2.10
 0, st:0.5_m:50_rows:3456_x14_how:k5,  0.05,  0.06, *--                 |                   ,  0.00,  1.53
 0, st:0.25_m:0_rows:3456_x14_how:avearge,  0.05,  0.06, *--                 |                   ,  0.00,  3.79
 0, st:0.5_m:100_rows:3456_x14_how:avearge,  0.07,  0.11, *----               |                   ,  0.00,  3.02
 0, st:0.25_m:100_rows:3456_x14_how:avearge,  0.07,  0.08, *------             |                   ,  0.00,  2.73
 0, st:0.5_m:50_rows:3456_x14_how:avearge,  0.07,  0.09, *---                |                   ,  0.00,  2.42
 0, st:0.25_m:50_rows:3456_x14_how:avearge,  0.08,  0.11, *------             |                   ,  0.00,  3.16
