		 data/config/SS-A.csv 		
#
 0, st:0.25_m:0_rows:1343_x3_how:k3,  0.02,  0.05, *                   |                   ,  0.00,  3.37
 0, st:0.25_m:0_rows:1343_x3_how:k5,  0.02,  0.06, *                   |                   ,  0.00,  3.18
 0, st:0.5_m:100_rows:1343_x3_how:k5,  0.02,  0.07, *                   |                   ,  0.00,  3.41
 0, st:0.5_m:0_rows:1343_x3_how:k2,  0.02,  0.06, *                   |                   ,  0.00,  3.43
 0, st:0.25_m:100_rows:1343_x3_how:k5,  0.02,  0.06, *                   |                   ,  0.00,  3.26
 0, st:0.25_m:100_rows:1343_x3_how:k2,  0.02,  0.08, *                   |                   ,  0.00,  3.23
 0, st:0.25_m:100_rows:1343_x3_how:k3,  0.02,  0.08, *                   |                   ,  0.00,  3.44
 0, st:0.25_m:0_rows:1343_x3_how:k2,  0.02,  0.07, *                   |                   ,  0.00,  3.27
 0, st:0.5_m:0_rows:1343_x3_how:k5,  0.02,  0.08, *-                  |                   ,  0.00,  3.22
 0, st:0.5_m:0_rows:1343_x3_how:k3,  0.02,  0.07, *                   |                   ,  0.00,  3.25
 0, st:0.5_m:50_rows:1343_x3_how:k3,  0.02,  0.08, *                   |                   ,  0.00,  3.14
 0, st:0.25_m:50_rows:1343_x3_how:k5,  0.02,  0.08, *                   |                   ,  0.00,  3.27
 0, st:0.5_m:100_rows:1343_x3_how:k2,  0.02,  0.10, *                   |                   ,  0.00,  3.36
 0, st:0.5_m:100_rows:1343_x3_how:k3,  0.03,  0.08, *                   |                   ,  0.00,  3.35
 0, st:0.25_m:50_rows:1343_x3_how:k3,  0.03,  0.09, *                   |                   ,  0.00,  3.71
 0, st:0.25_m:50_rows:1343_x3_how:k2,  0.03,  0.10, *-                  |                   ,  0.00,  3.41
 0, st:0.5_m:50_rows:1343_x3_how:k2,  0.03,  0.10, *-                  |                   ,  0.00,  3.21
 0, st:0.5_m:50_rows:1343_x3_how:k5,  0.03,  0.10, *                   |                   ,  0.00,  3.15
 0, st:0.5_m:100_rows:1343_x3_how:avearge,  0.04,  0.12, *-                  |                   ,  0.00,  6.24
 0, st:0.5_m:0_rows:1343_x3_how:avearge,  0.04,  0.11, *-                  |                   ,  0.00,  3.20
 0, st:0.25_m:100_rows:1343_x3_how:avearge,  0.04,  0.12, *-                  |                   ,  0.00,  2.71
 0, st:0.25_m:0_rows:1343_x3_how:avearge,  0.04,  0.11, *-                  |                   ,  0.00,  3.32
 0, st:0.25_m:50_rows:1343_x3_how:avearge,  0.07,  0.16, *-                  |                   ,  0.00,  3.28
 0, st:0.5_m:50_rows:1343_x3_how:avearge,  0.09,  0.24, *----               |                   ,  0.00,  6.71
