		 data/config/SS-D.csv 		
#
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.14,  0.56,  *  ------          |                   ,  0.00,  3.77
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.15,  0.50,  *  ------          |                   ,  0.00,  4.11
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.16,  0.62,  *   -----          |                   ,  0.00,  4.98
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.17,  0.74,  *    -----         |                   ,  0.00,  3.79
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.18,  0.49,  *  ------          |                   ,  0.00,  4.47
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.18,  0.63,  *   ----           |                   ,  0.00,  4.13
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.19,  0.55,  *  ------          |                   ,  0.00,  4.11
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.19,  0.55,  *  ------          |                   ,  0.00,  4.04
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.20,  0.60,  *   ------         |                   ,  0.00,  4.07
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.20,  0.59,  *  -------         |                   ,  0.00,  3.64
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.20,  0.63,  *   ------         |                   ,  0.00,  4.47
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.21,  0.67,  *   ------         |                   ,  0.00,  4.98
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.22,  0.80,  *    ----          |                   ,  0.00,  3.55
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.22,  0.66,  *   ------         |                   ,  0.00,  3.96
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.23,  0.79,  *    -----         |                   ,  0.00,  4.98
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.23,  0.70,  *   -----          |                   ,  0.00,  4.04
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.24,  0.72,  *    ------        |                   ,  0.00,  3.94
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.24,  0.71,  *    ------        |                   ,  0.00,  4.98
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.25,  0.75,  *    ----          |                   ,  0.00,  3.69
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.25,  0.82,   *   ----          |                   ,  0.00,  3.93
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.30,  0.49,   * -------         |                   ,  0.00,  3.81
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.33,  0.59,   *  -------        |                   ,  0.00,  3.43
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.33,  0.54, - *  -------        |                   ,  0.00,  4.31
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.35,  0.65,   *  --------       |                   ,  0.00,  4.25
