		 data/config/SS-E.csv 		
#
 0, st:0.25_m:50_rows:756_x3_how:k2,  0.08,  0.39, * ----              |                   ,  0.00,  3.42
 0, st:0.25_m:0_rows:756_x3_how:k2,  0.08,  0.81, *   ---             |                   ,  0.00,  2.74
 0, st:0.25_m:100_rows:756_x3_how:k2,  0.09,  0.80, *   --              |                   ,  0.00,  3.16
 0, st:0.5_m:100_rows:756_x3_how:k3,  0.09,  0.61, *  ----             |                   ,  0.00,  4.57
 0, st:0.25_m:50_rows:756_x3_how:k3,  0.09,  0.66, *  -----            |                   ,  0.00,  3.01
 0, st:0.5_m:50_rows:756_x3_how:k3,  0.10,  0.69, *  -----            |                   ,  0.00,  3.32
 0, st:0.5_m:0_rows:756_x3_how:k2,  0.10,  0.71, *  ---              |                   ,  0.00,  2.75
 0, st:0.25_m:100_rows:756_x3_how:k3,  0.10,  0.69, *  -----            |                   ,  0.00,  2.93
 0, st:0.5_m:50_rows:756_x3_how:k2,  0.10,  0.60, *  ----             |                   ,  0.00,  6.34
 0, st:0.5_m:100_rows:756_x3_how:k2,  0.10,  0.72, *  ----             |                   ,  0.00,  4.50
 0, st:0.25_m:0_rows:756_x3_how:k3,  0.11,  0.80, *   --              |                   ,  0.00,  2.82
 0, st:0.25_m:50_rows:756_x3_how:k5,  0.11,  0.56, * -----             |                   ,  0.00,  2.90
 0, st:0.5_m:100_rows:756_x3_how:k5,  0.12,  1.01, *    --             |                   ,  0.00,  3.39
 0, st:0.5_m:50_rows:756_x3_how:k5,  0.12,  0.71, *  -----            |                   ,  0.00,  3.12
 0, st:0.25_m:100_rows:756_x3_how:k5,  0.13,  0.78, *   ---             |                   ,  0.00,  3.23
 0, st:0.5_m:0_rows:756_x3_how:k3,  0.13,  1.04, *    --             |                   ,  0.00,  2.99
 0, st:0.25_m:0_rows:756_x3_how:k5,  0.13,  0.99, *    --             |                   ,  0.00,  7.86
 0, st:0.5_m:0_rows:756_x3_how:k5,  0.14,  1.07, *    --             |                   ,  0.00,  3.42
 0, st:0.25_m:100_rows:756_x3_how:avearge,  0.15,  0.64, *  ----             |                   ,  0.00,  5.88
 0, st:0.5_m:100_rows:756_x3_how:avearge,  0.19,  0.60, *  ----             |                   ,  0.00,  4.13
 0, st:0.5_m:50_rows:756_x3_how:avearge,  0.22,  0.60,  * ----             |                   ,  0.00,  4.36
 0, st:0.25_m:50_rows:756_x3_how:avearge,  0.22,  0.63,  * ---              |                   ,  0.00,  2.80
 0, st:0.5_m:0_rows:756_x3_how:avearge,  0.26,  0.60,  * ----             |                   ,  0.00,  4.74
 0, st:0.25_m:0_rows:756_x3_how:avearge,  0.26,  0.57,  * ---              |                   ,  0.00,  3.53
