		 data/config/SS-F.csv 		
#
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.12,  0.46,  *  --------        |                   ,  0.00,  3.41
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.12,  0.47,  *  --------        |                   ,  0.00,  3.17
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.13,  0.52,  *   -------        |                   ,  0.00,  3.44
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.15,  0.48,  *  ---------       |                   ,  0.00,  3.50
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.15,  0.54,  *   --------       |                   ,  0.00,  3.85
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.15,  0.48,  *  --------        |                   ,  0.00,  3.40
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.15,  0.71,  *     -------      |                   ,  0.00,  3.63
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.15,  0.50,  *   -------        |                   ,  0.00,  4.01
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.16,  0.52,  *   --------       |                   ,  0.00,  3.19
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.16,  0.54,  *   ------         |                   ,  0.00,  3.27
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.16,  0.54,  *   --------       |                   ,  0.00,  4.02
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.17,  0.58,  *   -------        |                   ,  0.00,  3.21
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.18,  0.60,  *    ------        |                   ,  0.00,  3.64
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.20,  0.55,  *   --------       |                   ,  0.00,  3.55
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.20,  0.73,   *    -----        |                   ,  0.00,  3.19
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.22,  0.67,   *   --------      |                   ,  0.00,  3.44
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.22,  0.75,   *    -------      |                   ,  0.00,  3.56
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.23,  0.75,   *    -----        |                   ,  0.00,  3.31
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.23,  0.66,   *   -------       |                   ,  0.00,  3.31
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.25,  0.74,   *    -----        |                   ,  0.00,  3.22
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.30,  0.57,   *   ---------     |                   ,  0.00,  3.65
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.31,  0.61,    *  ----------    |                   ,  0.00,  3.50
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.33,  0.44, -  * ---------      |                   ,  0.00,  3.24
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.33,  0.43, -  * --------       |                   ,  0.00,  3.78
