		 data/config/SS-G.csv 		
#
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.13,  0.52,  *   --------       |                   ,  0.00,  3.34
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.14,  0.55,  *   -------        |                   ,  0.00,  3.40
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.14,  0.50,  *   --------       |                   ,  0.00,  3.77
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.15,  0.54,  *   ---------      |                   ,  0.00,  3.55
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.16,  0.47,  *   --------       |                   ,  0.00,  3.76
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.17,  0.54,  *   ---------      |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.17,  0.52,  *   ---------      |                   ,  0.00,  3.81
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.18,  0.59,  *    -------       |                   ,  0.00,  3.37
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.18,  0.63,  *    ------        |                   ,  0.00,  3.43
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.19,  0.76,  *      ------      |                   ,  0.00,  3.54
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.19,  0.58,   *   ---------     |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.19,  0.56,   *   ---------     |                   ,  0.00,  3.72
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.20,  0.66,   *    ------       |                   ,  0.00,  3.63
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.20,  0.76,   *     ----        |                   ,  0.00,  3.20
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.22,  0.58,   *   ---------     |                   ,  0.00,  3.86
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.23,  0.74,   *    --------     |                   ,  0.00,  3.82
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.23,  0.67,   *    --------     |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.24,  0.73,   *    --------     |                   ,  0.00,  3.73
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.24,  0.75,   *    -----        |                   ,  0.00,  3.30
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.24,  0.76,   *     -----       |                   ,  0.00,  3.16
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.29,  0.44, -  * ---------      |                   ,  0.00,  3.61
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.31,  0.59,    *  ----------    |                   ,  0.00,  3.46
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.31,  0.62,    *   -----------  |                   ,  0.00,  3.77
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.34,  0.45, -  *  ---------     |                   ,  0.00,  3.54
