		 data/config/SS-H.csv 		
#
 0, st:0.25_m:50_rows:259_x4_how:k5,  0.24,  0.45,   * ------          |                   ,  0.00,  3.63
 0, st:0.25_m:100_rows:259_x4_how:k2,  0.25,  0.48,   * -----           |                   ,  0.00,  4.27
 0, st:0.5_m:100_rows:259_x4_how:k2,  0.25,  0.47,   * -----           |                   ,  0.00,  2.56
 0, st:0.25_m:100_rows:259_x4_how:k5,  0.25,  0.48,   * ------          |                   ,  0.00,  4.00
 0, st:0.25_m:50_rows:259_x4_how:k2,  0.25,  0.48,   * ------          |                   ,  0.00,  4.20
 0, st:0.25_m:0_rows:259_x4_how:k3,  0.27,  0.47,   * -----           |                   ,  0.00,  3.74
 0, st:0.25_m:0_rows:259_x4_how:k2,  0.27,  0.48,   * ------          |                   ,  0.00,  3.89
 0, st:0.25_m:50_rows:259_x4_how:k3,  0.27,  0.46,   * ------          |                   ,  0.00,  3.80
 0, st:0.25_m:100_rows:259_x4_how:k3,  0.28,  0.57,   *  ------         |                   ,  0.00,  3.90
 0, st:0.5_m:0_rows:259_x4_how:k5,  0.29,  0.45, - * -----           |                   ,  0.00,  3.54
 0, st:0.5_m:0_rows:259_x4_how:k2,  0.29,  0.45,   * -----           |                   ,  0.00,  3.72
 0, st:0.5_m:0_rows:259_x4_how:k3,  0.29,  0.45,   * ----            |                   ,  0.00,  3.84
 0, st:0.5_m:50_rows:259_x4_how:k2,  0.30,  0.52, - *  ------         |                   ,  0.00,  3.80
 0, st:0.5_m:50_rows:259_x4_how:k5,  0.31,  0.45, - * -----           |                   ,  0.00,  3.92
 0, st:0.25_m:0_rows:259_x4_how:k5,  0.31,  0.51,   *  -----          |                   ,  0.00,  3.36
 0, st:0.5_m:100_rows:259_x4_how:k5,  0.31,  0.64,   *   ----          |                   ,  0.00,  4.39
 0, st:0.5_m:50_rows:259_x4_how:k3,  0.32,  0.46, - *  ------         |                   ,  0.00,  3.80
 0, st:0.5_m:100_rows:259_x4_how:k3,  0.32,  0.58,   *  ------         |                   ,  0.00,  4.20
 0, st:0.25_m:100_rows:259_x4_how:avearge,  0.36,  0.60, -  *  ------        |                   ,  0.00,  3.95
 0, st:0.5_m:0_rows:259_x4_how:avearge,  0.40,  0.41, -  * -----          |                   ,  0.00,  3.86
 0, st:0.5_m:100_rows:259_x4_how:avearge,  0.41,  0.58, -  *  -----         |                   ,  0.00,  4.08
 0, st:0.5_m:50_rows:259_x4_how:avearge,  0.43,  0.53, -  *  ------        |                   ,  0.00,  4.70
 0, st:0.25_m:50_rows:259_x4_how:avearge,  0.43,  0.57, -  *  -----         |                   ,  0.00,  4.16
 0, st:0.25_m:0_rows:259_x4_how:avearge,  0.50,  0.53, --  *  ----         |                   ,  0.00,  3.98
