		 data/config/SS-I.csv 		
#
 0, st:0.5_m:0_rows:1080_x5_how:k3,  0.10,  0.15, * ----              |                   ,  0.00,  2.36
 0, st:0.25_m:0_rows:1080_x5_how:k2,  0.10,  0.18,  *----              |                   ,  0.00,  3.86
 0, st:0.5_m:0_rows:1080_x5_how:k5,  0.10,  0.14,  *--                |                   ,  0.00,  1.99
 0, st:0.5_m:0_rows:1080_x5_how:k2,  0.10,  0.15,  *---               |                   ,  0.00,  3.78
 0, st:0.25_m:100_rows:1080_x5_how:k2,  0.11,  0.20,  *------            |                   ,  0.00,  2.75
 0, st:0.25_m:100_rows:1080_x5_how:k3,  0.11,  0.19,  *------            |                   ,  0.00,  3.88
 0, st:0.25_m:0_rows:1080_x5_how:k3,  0.11,  0.15,  *---               |                   ,  0.00,  3.83
 0, st:0.5_m:100_rows:1080_x5_how:k3,  0.11,  0.19,  *------            |                   ,  0.00,  2.71
 0, st:0.5_m:100_rows:1080_x5_how:k2,  0.12,  0.25,  * -------          |                   ,  0.00,  2.89
 0, st:0.25_m:0_rows:1080_x5_how:k5,  0.12,  0.17,  *----              |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:1080_x5_how:k5,  0.13,  0.19,  *------            |                   ,  0.00,  3.88
 0, st:0.5_m:100_rows:1080_x5_how:k5,  0.14,  0.22,  *-----             |                   ,  0.00,  2.81
 0, st:0.25_m:50_rows:1080_x5_how:k2,  0.15,  0.26,  * -----            |                   ,  0.00,  2.69
 0, st:0.5_m:50_rows:1080_x5_how:k3,  0.15,  0.27,  * -----            |                   ,  0.00,  2.43
 0, st:0.25_m:50_rows:1080_x5_how:k3,  0.17,  0.28,  * ------           |                   ,  0.00,  2.63
 0, st:0.5_m:50_rows:1080_x5_how:k2,  0.18,  0.36,  *  --------        |                   ,  0.00,  3.17
 0, st:0.5_m:50_rows:1080_x5_how:k5,  0.20,  0.32,   * ------          |                   ,  0.00,  1.94
 0, st:0.25_m:50_rows:1080_x5_how:k5,  0.21,  0.31,   * -----           |                   ,  0.00,  3.86
 0, st:0.5_m:100_rows:1080_x5_how:avearge,  0.26,  0.40, - *  ------         |                   ,  0.00,  2.50
#
 1, st:0.25_m:0_rows:1080_x5_how:avearge,  0.31,  0.44, -  *  ----          |                   ,  0.00,  2.41
 1, st:0.25_m:100_rows:1080_x5_how:avearge,  0.34,  0.51, -  *  -----         |                   ,  0.00,  3.59
 1, st:0.5_m:50_rows:1080_x5_how:avearge,  0.37,  0.43, -  *  ------        |                   ,  0.00,  2.20
 1, st:0.25_m:50_rows:1080_x5_how:avearge,  0.38,  0.45, -- *  -----         |                   ,  0.00,  3.11
 1, st:0.5_m:0_rows:1080_x5_how:avearge,  0.42,  0.47, --  *  ----         |                   ,  0.00,  3.01
