		 data/config/SS-K.csv 		
#
 0, st:0.25_m:0_rows:2880_x6_how:k2,  0.05,  0.26, * -------           |                   ,  0.00,  2.53
 0, st:0.5_m:0_rows:2880_x6_how:k3,  0.05,  0.29, * --------          |                   ,  0.00,  2.19
 0, st:0.5_m:0_rows:2880_x6_how:k2,  0.06,  0.26, * -------           |                   ,  0.00,  2.75
 0, st:0.5_m:50_rows:2880_x6_how:k2,  0.08,  0.42, *   ------          |                   ,  0.00,  3.01
 0, st:0.25_m:0_rows:2880_x6_how:k3,  0.08,  0.30, * -------           |                   ,  0.00,  2.87
 0, st:0.5_m:100_rows:2880_x6_how:k2,  0.08,  0.37, *  -------          |                   ,  0.00,  3.99
 0, st:0.25_m:100_rows:2880_x6_how:k2,  0.09,  0.41, *  ---------        |                   ,  0.00,  3.29
 0, st:0.25_m:0_rows:2880_x6_how:k5,  0.10,  0.37, *  -------          |                   ,  0.00,  2.72
 0, st:0.5_m:0_rows:2880_x6_how:k5,  0.10,  0.28, * ------            |                   ,  0.00,  3.33
 0, st:0.25_m:50_rows:2880_x6_how:k2,  0.11,  0.41, *  --------         |                   ,  0.00,  3.80
 0, st:0.5_m:100_rows:2880_x6_how:k3,  0.11,  0.35, *  -------          |                   ,  0.00,  3.47
 0, st:0.25_m:100_rows:2880_x6_how:k3,  0.11,  0.41, *  -------          |                   ,  0.00,  2.73
 0, st:0.5_m:100_rows:2880_x6_how:k5,  0.11,  0.47,  *  ------          |                   ,  0.00,  3.58
 0, st:0.25_m:50_rows:2880_x6_how:k5,  0.11,  0.46,  *  -------         |                   ,  0.00,  3.60
 0, st:0.5_m:50_rows:2880_x6_how:k5,  0.11,  0.45,  *  ------          |                   ,  0.00,  3.49
 0, st:0.25_m:100_rows:2880_x6_how:k5,  0.12,  0.46,  *  ------          |                   ,  0.00,  2.56
 0, st:0.5_m:50_rows:2880_x6_how:k3,  0.13,  0.45,  *  -------         |                   ,  0.00,  4.27
 0, st:0.25_m:50_rows:2880_x6_how:k3,  0.15,  0.53,  *   -------        |                   ,  0.00,  3.16
#
 1, st:0.5_m:100_rows:2880_x6_how:avearge,  0.22,  0.58,   *  -----          |                   ,  0.00,  3.81
 1, st:0.5_m:0_rows:2880_x6_how:avearge,  0.23,  0.63,   *   ----          |                   ,  0.00,  3.39
 1, st:0.25_m:50_rows:2880_x6_how:avearge,  0.23,  0.67,   *   ------        |                   ,  0.00,  4.23
 1, st:0.25_m:100_rows:2880_x6_how:avearge,  0.24,  0.58,   *  ------         |                   ,  0.00,  3.01
 1, st:0.25_m:0_rows:2880_x6_how:avearge,  0.25,  0.58,   *  ----           |                   ,  0.00,  4.01
 1, st:0.5_m:50_rows:2880_x6_how:avearge,  0.29,  0.67,   *   ----          |                   ,  0.00,  3.98
