		 data/config/SS-L.csv 		
#
 0, st:0.25_m:0_rows:1023_x11_how:k2,  0.13,  0.32,  *  ---------       |                   ,  0.00,  3.06
 0, st:0.5_m:0_rows:1023_x11_how:k3,  0.13,  0.29,  *  --------        |                   ,  0.00,  2.79
 0, st:0.25_m:0_rows:1023_x11_how:k5,  0.14,  0.29, -*  ---------       |                   ,  0.00,  2.54
 0, st:0.5_m:0_rows:1023_x11_how:k2,  0.15,  0.34,  *   --------       |                   ,  0.00,  3.04
 0, st:0.25_m:0_rows:1023_x11_how:k3,  0.16,  0.39, -*   --------       |                   ,  0.00,  2.49
 0, st:0.25_m:100_rows:1023_x11_how:k2,  0.16,  0.49,  *    -----------   |                   ,  0.00,  2.84
 0, st:0.25_m:100_rows:1023_x11_how:k5,  0.16,  0.40, -*    ----------    |                   ,  0.00,  2.43
 0, st:0.5_m:0_rows:1023_x11_how:k5,  0.16,  0.33, -*   --------       |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:1023_x11_how:k3,  0.16,  0.42, -*    ---------     |                   ,  0.00,  2.59
 0, st:0.5_m:100_rows:1023_x11_how:k5,  0.19,  0.41, - *   --------      |                   ,  0.00,  3.03
 0, st:0.25_m:100_rows:1023_x11_how:k3,  0.22,  0.57, - *     ---------   |                   ,  0.00,  2.81
 0, st:0.25_m:50_rows:1023_x11_how:k2,  0.24,  0.63, - *     ----------- |                   ,  0.00,  2.75
 0, st:0.5_m:100_rows:1023_x11_how:k2,  0.26,  0.63, -  *    ---------   |                   ,  0.00,  2.86
 0, st:0.5_m:50_rows:1023_x11_how:k2,  0.28,  0.55, -  *   ---------    |                   ,  0.00,  2.79
 0, st:0.5_m:50_rows:1023_x11_how:k5,  0.29,  0.51, -  *   ----------   |                   ,  0.00,  3.17
 0, st:0.5_m:50_rows:1023_x11_how:k3,  0.29,  0.53, -  *   --------     |                   ,  0.00,  3.03
 0, st:0.25_m:50_rows:1023_x11_how:k5,  0.31,  0.47, -  *   ----------   |                   ,  0.00,  2.51
 0, st:0.25_m:50_rows:1023_x11_how:k3,  0.33,  0.59, -   *   ---------   |                   ,  0.00,  3.27
#
 1, st:0.25_m:0_rows:1023_x11_how:avearge,  0.47,  0.55, ---  *   --------   |                   ,  0.00,  2.70
 1, st:0.5_m:100_rows:1023_x11_how:avearge,  0.49,  0.55, ---  *   --------   |                   ,  0.00,  2.75
 1, st:0.5_m:50_rows:1023_x11_how:avearge,  0.49,  0.59,  --  *    -------   |                   ,  0.00,  2.53
 1, st:0.5_m:0_rows:1023_x11_how:avearge,  0.55,  0.57, ---   *   --------  |                   ,  0.00,  2.62
 1, st:0.25_m:100_rows:1023_x11_how:avearge,  0.56,  0.57, ---   *   --------  |                   ,  0.00,  2.66
 1, st:0.25_m:50_rows:1023_x11_how:avearge,  0.67,  0.67,  ---    *   ------- |                   ,  0.00,  2.79
