		 data/config/SS-M.csv 		
#
 0, st:0.25_m:50_rows:864_x17_how:k2,  0.01,  0.05, *-----              |                   ,  0.00,  2.46
 0, st:0.5_m:0_rows:864_x17_how:k2,  0.02,  0.04, *------             |                   ,  0.00,  2.75
 0, st:0.5_m:0_rows:864_x17_how:k3,  0.02,  0.05, *----               |                   ,  0.00,  2.71
 0, st:0.25_m:0_rows:864_x17_how:k2,  0.02,  0.05, *---                |                   ,  0.00,  2.46
 0, st:0.5_m:50_rows:864_x17_how:k2,  0.02,  0.04, *--                 |                   ,  0.00,  2.64
 0, st:0.25_m:100_rows:864_x17_how:k2,  0.02,  0.05, *---                |                   ,  0.00,  2.46
 0, st:0.5_m:100_rows:864_x17_how:k2,  0.02,  0.05, *--------           |                   ,  0.00,  2.45
 0, st:0.5_m:100_rows:864_x17_how:k3,  0.02,  0.06, *---------          |                   ,  0.00,  2.40
 0, st:0.25_m:0_rows:864_x17_how:k3,  0.02,  0.05, *--                 |                   ,  0.00,  2.73
 0, st:0.25_m:100_rows:864_x17_how:k3,  0.02,  0.05, *-----              |                   ,  0.00,  2.71
 0, st:0.25_m:50_rows:864_x17_how:k3,  0.02,  0.07, *------             |                   ,  0.00,  2.61
 0, st:0.5_m:50_rows:864_x17_how:k3,  0.02,  0.10, *-----              |                   ,  0.00,  2.54
 0, st:0.5_m:100_rows:864_x17_how:k5,  0.02,  0.06, *-----              |                   ,  0.00,  2.86
 0, st:0.25_m:100_rows:864_x17_how:k5,  0.02,  0.11, *-------------      |                   ,  0.00,  2.55
 0, st:0.5_m:0_rows:864_x17_how:k5,  0.03,  0.08, *-----              |                   ,  0.00,  2.71
 0, st:0.5_m:50_rows:864_x17_how:k5,  0.03,  0.13, *-------            |                   ,  0.00,  2.71
 0, st:0.25_m:0_rows:864_x17_how:k5,  0.03,  0.11, *----               |                   ,  0.00,  2.45
 0, st:0.25_m:50_rows:864_x17_how:k5,  0.03,  0.17, * ------------      |                   ,  0.00,  2.64
 0, st:0.5_m:100_rows:864_x17_how:avearge,  0.04,  0.18, * -----------       |                   ,  0.00,  2.81
#
 1, st:0.25_m:100_rows:864_x17_how:avearge,  0.09,  0.50,  *     ---------    |                   ,  0.00,  2.46
#
 2, st:0.25_m:0_rows:864_x17_how:avearge,  0.11,  0.25,  * -------------    |                   ,  0.00,  2.44
 2, st:0.5_m:0_rows:864_x17_how:avearge,  0.13,  0.31,  *  --------------  |                   ,  0.00,  2.81
 2, st:0.5_m:50_rows:864_x17_how:avearge,  0.18,  0.43,   *   -------       |                   ,  0.00,  2.44
 2, st:0.25_m:50_rows:864_x17_how:avearge,  0.22,  0.47,    *  --------------|-                  ,  0.00,  2.54
