		 data/config/SS-O.csv 		
#
 0, st:0.25_m:0_rows:972_x11_how:k2,  0.21,  0.45,  *  ------          |                   ,  0.00,  5.24
 0, st:0.25_m:100_rows:972_x11_how:k3,  0.24,  0.43,  *  ------          |                   ,  0.00,  3.98
 0, st:0.25_m:0_rows:972_x11_how:k5,  0.25,  0.52,  *  ------          |                   ,  0.00,  4.70
 0, st:0.5_m:0_rows:972_x11_how:k2,  0.25,  0.50,  *  ------          |                   ,  0.00,  4.91
 0, st:0.5_m:0_rows:972_x11_how:k3,  0.26,  0.53,  *  ------          |                   ,  0.00,  4.01
 0, st:0.5_m:100_rows:972_x11_how:k2,  0.27,  0.46,   * -------         |                   ,  0.00,  4.02
 0, st:0.5_m:0_rows:972_x11_how:k5,  0.27,  0.51, - * ------          |                   ,  0.00,  3.97
 0, st:0.25_m:0_rows:972_x11_how:k3,  0.28,  0.51,   * -------         |                   ,  0.00,  4.19
 0, st:0.5_m:100_rows:972_x11_how:k5,  0.29,  0.50,   * ------          |                   ,  0.00,  3.95
 0, st:0.25_m:100_rows:972_x11_how:k5,  0.29,  0.52,   * -------         |                   ,  0.00,  4.17
 0, st:0.5_m:100_rows:972_x11_how:k3,  0.30,  0.52,   * ------          |                   ,  0.00,  4.33
 0, st:0.5_m:50_rows:972_x11_how:k3,  0.31,  0.58,   *  ------         |                   ,  0.00,  3.31
 0, st:0.5_m:50_rows:972_x11_how:k2,  0.31,  0.62, - *  -------        |                   ,  0.00,  4.30
 0, st:0.25_m:100_rows:972_x11_how:k2,  0.31,  0.51, - *  ------         |                   ,  0.00,  4.02
 0, st:0.25_m:50_rows:972_x11_how:k2,  0.31,  0.54,   *  -------        |                   ,  0.00,  4.07
 0, st:0.25_m:50_rows:972_x11_how:k3,  0.32,  0.53,   *  ------         |                   ,  0.00,  4.31
 0, st:0.25_m:50_rows:972_x11_how:k5,  0.34,  0.61,   *  ------         |                   ,  0.00,  4.29
 0, st:0.25_m:100_rows:972_x11_how:avearge,  0.35,  0.57, - *  ------         |                   ,  0.00,  3.77
 0, st:0.5_m:50_rows:972_x11_how:k5,  0.35,  0.59, - *  -------        |                   ,  0.00,  4.75
 0, st:0.5_m:100_rows:972_x11_how:avearge,  0.36,  0.56, - *  ------         |                   ,  0.00,  3.58
 0, st:0.25_m:0_rows:972_x11_how:avearge,  0.40,  0.59, -  * -----          |                   ,  0.00,  3.50
 0, st:0.5_m:0_rows:972_x11_how:avearge,  0.42,  0.66, -  *  -----         |                   ,  0.00,  4.46
 0, st:0.5_m:50_rows:972_x11_how:avearge,  0.50,  0.69, -  *   -----        |                   ,  0.00,  3.19
 0, st:0.25_m:50_rows:972_x11_how:avearge,  0.51,  0.62, -  *  -----         |                   ,  0.00,  3.24
