		 data/config/SS-P.csv 		
#
 0, st:0.25_m:0_rows:1023_x11_how:k2,  0.12,  0.33,  *  --------        |                   ,  0.00,  3.51
 0, st:0.5_m:0_rows:1023_x11_how:k2,  0.12,  0.25,  * --------         |                   ,  0.00,  2.70
 0, st:0.5_m:0_rows:1023_x11_how:k3,  0.13,  0.26,  * ------           |                   ,  0.00,  2.59
 0, st:0.25_m:0_rows:1023_x11_how:k5,  0.13,  0.21,  * --------         |                   ,  0.00,  2.61
 0, st:0.25_m:0_rows:1023_x11_how:k3,  0.14,  0.32,  *  -------         |                   ,  0.00,  2.49
 0, st:0.25_m:100_rows:1023_x11_how:k2,  0.14,  0.41,  *   ---------      |                   ,  0.00,  2.79
 0, st:0.5_m:0_rows:1023_x11_how:k5,  0.15,  0.31,  *  --------        |                   ,  0.00,  2.84
 0, st:0.25_m:100_rows:1023_x11_how:k3,  0.16,  0.50, -*    --------      |                   ,  0.00,  2.76
 0, st:0.25_m:100_rows:1023_x11_how:k5,  0.16,  0.38,  *   --------       |                   ,  0.00,  2.51
 0, st:0.5_m:100_rows:1023_x11_how:k2,  0.16,  0.49,  *    -------       |                   ,  0.00,  2.69
 0, st:0.5_m:100_rows:1023_x11_how:k3,  0.16,  0.39, -*   ---------      |                   ,  0.00,  2.59
 0, st:0.5_m:100_rows:1023_x11_how:k5,  0.16,  0.39, -*   --------       |                   ,  0.00,  2.87
 0, st:0.25_m:50_rows:1023_x11_how:k2,  0.20,  0.47, - *   ----------    |                   ,  0.00,  3.01
 0, st:0.5_m:50_rows:1023_x11_how:k3,  0.21,  0.44, - *   ------        |                   ,  0.00,  3.35
 0, st:0.5_m:50_rows:1023_x11_how:k2,  0.21,  0.46,   *   --------      |                   ,  0.00,  2.43
 0, st:0.25_m:50_rows:1023_x11_how:k5,  0.25,  0.41, - *   --------      |                   ,  0.00,  2.36
 0, st:0.5_m:50_rows:1023_x11_how:k5,  0.26,  0.45, - *   ---------     |                   ,  0.00,  3.12
 0, st:0.25_m:50_rows:1023_x11_how:k3,  0.27,  0.51, -  *  --------      |                   ,  0.00,  3.24
#
 1, st:0.25_m:0_rows:1023_x11_how:avearge,  0.47,  0.55, --   *   -------    |                   ,  0.00,  2.70
 1, st:0.5_m:100_rows:1023_x11_how:avearge,  0.49,  0.55, --   *   -------    |                   ,  0.00,  2.75
 1, st:0.5_m:50_rows:1023_x11_how:avearge,  0.49,  0.59,  --  *   -------    |                   ,  0.00,  2.53
 1, st:0.5_m:0_rows:1023_x11_how:avearge,  0.55,  0.57, ---   *  -------    |                   ,  0.00,  2.62
 1, st:0.25_m:100_rows:1023_x11_how:avearge,  0.56,  0.57, ---   *  --------   |                   ,  0.00,  2.66
 1, st:0.25_m:50_rows:1023_x11_how:avearge,  0.67,  0.67,  --    *   -------  |                   ,  0.00,  2.79
