		 data/config/SS-Q.csv 		
#
 0, st:0.5_m:0_rows:2736_x13_how:k2,  0.11,  0.32,  * -----            |                   ,  0.00,  2.06
 0, st:0.25_m:0_rows:2736_x13_how:k2,  0.12,  0.32,  * ------           |                   ,  0.00,  2.55
 0, st:0.5_m:0_rows:2736_x13_how:k3,  0.13,  0.28,  * -----            |                   ,  0.00,  3.33
 0, st:0.25_m:0_rows:2736_x13_how:k3,  0.14,  0.33,  *  -----           |                   ,  0.00,  2.46
 0, st:0.25_m:100_rows:2736_x13_how:k2,  0.14,  0.39,  *  -------         |                   ,  0.00,  2.51
 0, st:0.25_m:0_rows:2736_x13_how:k5,  0.14,  0.29,  * ------           |                   ,  0.00,  3.10
 0, st:0.5_m:100_rows:2736_x13_how:k3,  0.15,  0.33,  *  -----           |                   ,  0.00,  2.90
 0, st:0.5_m:100_rows:2736_x13_how:k2,  0.15,  0.36,  *  --------        |                   ,  0.00,  3.73
 0, st:0.5_m:50_rows:2736_x13_how:k2,  0.15,  0.37,  *  ------          |                   ,  0.00,  2.94
 0, st:0.25_m:100_rows:2736_x13_how:k5,  0.16,  0.32,  *  -----           |                   ,  0.00,  2.92
 0, st:0.25_m:50_rows:2736_x13_how:k5,  0.17,  0.36,  *  -----           |                   ,  0.00,  2.11
 0, st:0.5_m:50_rows:2736_x13_how:k5,  0.17,  0.40,  *  ------          |                   ,  0.00,  3.03
 0, st:0.25_m:50_rows:2736_x13_how:k2,  0.17,  0.40,  *  -------         |                   ,  0.00,  3.70
 0, st:0.5_m:100_rows:2736_x13_how:k5,  0.17,  0.31,  * -------          |                   ,  0.00,  2.26
 0, st:0.25_m:100_rows:2736_x13_how:k3,  0.17,  0.35,  *  -------         |                   ,  0.00,  2.63
 0, st:0.25_m:50_rows:2736_x13_how:k3,  0.18,  0.35,  *  ------          |                   ,  0.00,  2.77
 0, st:0.5_m:50_rows:2736_x13_how:k3,  0.19,  0.37,  *  ------          |                   ,  0.00,  2.68
 0, st:0.5_m:0_rows:2736_x13_how:k5,  0.19,  0.35,  *  ----            |                   ,  0.00,  1.39
#
 1, st:0.5_m:0_rows:2736_x13_how:avearge,  0.26,  0.41,   *  -----          |                   ,  0.00,  3.26
 1, st:0.25_m:0_rows:2736_x13_how:avearge,  0.26,  0.37,   * -----           |                   ,  0.00,  2.19
 1, st:0.25_m:50_rows:2736_x13_how:avearge,  0.28,  0.52, -  *  --------      |                   ,  0.00,  2.31
 1, st:0.25_m:100_rows:2736_x13_how:avearge,  0.32,  0.47, -  *  -------       |                   ,  0.00,  3.24
 1, st:0.5_m:100_rows:2736_x13_how:avearge,  0.32,  0.51, -  *  -------       |                   ,  0.00,  2.65
 1, st:0.5_m:50_rows:2736_x13_how:avearge,  0.41,  0.59, -   *  -------      |                   ,  0.00,  2.58
