		 data/config/SS-R.csv 		
#
 0, st:0.25_m:0_rows:3008_x14_how:k2,  0.04,  0.17, *---------          |                   ,  0.00,  2.44
 0, st:0.5_m:0_rows:3008_x14_how:k2,  0.05,  0.19, * ----------        |                   ,  0.00,  2.66
 0, st:0.5_m:100_rows:3008_x14_how:k2,  0.05,  0.17, *----------         |                   ,  0.00,  2.47
 0, st:0.5_m:50_rows:3008_x14_how:k2,  0.07,  0.26, * ---------         |                   ,  0.00,  2.45
 0, st:0.25_m:0_rows:3008_x14_how:k3,  0.07,  0.29, *  ------------     |                   ,  0.00,  2.26
 0, st:0.25_m:50_rows:3008_x14_how:k2,  0.07,  0.37, *   --------        |                   ,  0.00,  2.35
 0, st:0.25_m:100_rows:3008_x14_how:k2,  0.07,  0.43, *   -----------     |                   ,  0.00,  2.35
 0, st:0.5_m:100_rows:3008_x14_how:k3,  0.08,  0.30, *  ---------        |                   ,  0.00,  2.67
 0, st:0.5_m:0_rows:3008_x14_how:k3,  0.08,  0.39, *   ----------      |                   ,  0.00,  2.37
 0, st:0.5_m:0_rows:3008_x14_how:k5,  0.08,  0.33, *  ----------       |                   ,  0.00,  2.24
 0, st:0.25_m:0_rows:3008_x14_how:k5,  0.09,  0.40, *   ----------      |                   ,  0.00,  2.33
 0, st:0.25_m:100_rows:3008_x14_how:k3,  0.09,  0.40, *   ----------      |                   ,  0.00,  3.77
 0, st:0.25_m:50_rows:3008_x14_how:k3,  0.09,  0.39, *   ---------       |                   ,  0.00,  2.37
 0, st:0.5_m:50_rows:3008_x14_how:k3,  0.09,  0.32,  * --------         |                   ,  0.00,  2.55
 0, st:0.5_m:100_rows:3008_x14_how:k5,  0.10,  0.32,  * ---------        |                   ,  0.00,  2.46
 0, st:0.25_m:50_rows:3008_x14_how:k5,  0.10,  0.36,  *  -------         |                   ,  0.00,  2.51
 0, st:0.25_m:100_rows:3008_x14_how:k5,  0.14,  0.35,  *  ---------       |                   ,  0.00,  2.49
 0, st:0.5_m:50_rows:3008_x14_how:k5,  0.17,  0.43,  *   --------       |                   ,  0.00,  2.30
#
 1, st:0.5_m:0_rows:3008_x14_how:avearge,  0.30,  0.50, -  *  -------       |                   ,  0.00,  2.17
 1, st:0.25_m:0_rows:3008_x14_how:avearge,  0.30,  0.44, -  *  ------        |                   ,  0.00,  2.15
 1, st:0.5_m:100_rows:3008_x14_how:avearge,  0.31,  0.54, -  *  --------      |                   ,  0.00,  2.88
 1, st:0.25_m:50_rows:3008_x14_how:avearge,  0.36,  0.49, -  *   ------       |                   ,  0.00,  2.45
 1, st:0.25_m:100_rows:3008_x14_how:avearge,  0.38,  0.63, -   *   ------      |                   ,  0.00,  2.52
 1, st:0.5_m:50_rows:3008_x14_how:avearge,  0.46,  0.48, --  *  -----        |                   ,  0.00,  2.64
