		 data/config/SS-T.csv 		
#
 0, st:0.25_m:0_rows:5184_x12_how:k2,  0.01,  0.04, *                   |                   ,  0.00,  4.71
 0, st:0.5_m:0_rows:5184_x12_how:k2,  0.02,  0.05, *--                 |                   ,  0.00,  3.15
 0, st:0.5_m:0_rows:5184_x12_how:k3,  0.02,  0.05, *-                  |                   ,  0.00,  4.49
 0, st:0.25_m:0_rows:5184_x12_how:k3,  0.02,  0.06, *-                  |                   ,  0.00,  3.35
 0, st:0.25_m:0_rows:5184_x12_how:k5,  0.02,  0.07, *-                  |                   ,  0.00,  3.74
 0, st:0.25_m:100_rows:5184_x12_how:k2,  0.03,  0.11, *-----              |                   ,  0.00,  5.15
 0, st:0.5_m:0_rows:5184_x12_how:k5,  0.03,  0.08, *-                  |                   ,  0.00,  2.69
 0, st:0.5_m:100_rows:5184_x12_how:k3,  0.03,  0.13, *------             |                   ,  0.00,  3.33
 0, st:0.5_m:100_rows:5184_x12_how:k2,  0.04,  0.13, *-------            |                   ,  0.00,  4.64
 0, st:0.25_m:100_rows:5184_x12_how:k5,  0.04,  0.18, *----               |                   ,  0.00,  3.46
 0, st:0.5_m:50_rows:5184_x12_how:k2,  0.04,  0.18, *-------            |                   ,  0.00,  5.02
 0, st:0.25_m:100_rows:5184_x12_how:k3,  0.04,  0.16, *--------           |                   ,  0.00,  5.36
 0, st:0.5_m:100_rows:5184_x12_how:k5,  0.05,  0.17, *---                |                   ,  0.00,  4.69
 0, st:0.5_m:50_rows:5184_x12_how:k3,  0.05,  0.21, *-------            |                   ,  0.00,  3.38
 0, st:0.25_m:50_rows:5184_x12_how:k2,  0.05,  0.17, *------             |                   ,  0.00,  4.59
 0, st:0.25_m:50_rows:5184_x12_how:k3,  0.06,  0.17, *------             |                   ,  0.00,  5.21
 0, st:0.5_m:50_rows:5184_x12_how:k5,  0.07,  0.23, *-------            |                   ,  0.00,  3.09
 0, st:0.5_m:0_rows:5184_x12_how:avearge,  0.07,  0.23, *------             |                   ,  0.00,  3.59
 0, st:0.25_m:50_rows:5184_x12_how:k5,  0.08,  0.26, * -----             |                   ,  0.00,  3.51
 0, st:0.25_m:0_rows:5184_x12_how:avearge,  0.08,  0.33, * ------            |                   ,  0.00,  3.05
#
 1, st:0.5_m:100_rows:5184_x12_how:avearge,  0.14,  0.45,  * ------           |                   ,  0.00,  4.60
 1, st:0.25_m:100_rows:5184_x12_how:avearge,  0.15,  0.48,  * --------         |                   ,  0.00,  4.09
 1, st:0.5_m:50_rows:5184_x12_how:avearge,  0.26,  0.54,  *  ------          |                   ,  0.00,  3.76
 1, st:0.25_m:50_rows:5184_x12_how:avearge,  0.31,  0.59,   * ----            |                   ,  0.00,  4.36
