		 data/config/SS-U.csv 		
#
 0, st:0.5_m:100_rows:4608_x21_how:k2,  0.04,  0.10, *-----              |                   ,  0.00,  2.75
 0, st:0.5_m:0_rows:4608_x21_how:k2,  0.04,  0.10, *------             |                   ,  0.00,  3.49
 0, st:0.5_m:0_rows:4608_x21_how:k3,  0.04,  0.10, *------             |                   ,  0.00,  2.83
 0, st:0.25_m:100_rows:4608_x21_how:k2,  0.04,  0.12, *-------            |                   ,  0.00,  2.88
 0, st:0.25_m:0_rows:4608_x21_how:k3,  0.05,  0.08, *----               |                   ,  0.00,  2.69
 0, st:0.25_m:0_rows:4608_x21_how:k2,  0.05,  0.12, *--------           |                   ,  0.00,  3.03
 0, st:0.25_m:100_rows:4608_x21_how:k3,  0.05,  0.14, *------             |                   ,  0.00,  3.34
 0, st:0.25_m:50_rows:4608_x21_how:k2,  0.05,  0.16, *-------            |                   ,  0.00,  2.79
 0, st:0.5_m:0_rows:4608_x21_how:k5,  0.05,  0.12, *------             |                   ,  0.00,  2.73
 0, st:0.5_m:100_rows:4608_x21_how:k3,  0.06,  0.15, *-------            |                   ,  0.00,  3.32
 0, st:0.5_m:50_rows:4608_x21_how:k2,  0.06,  0.16, *-------            |                   ,  0.00,  3.29
 0, st:0.25_m:0_rows:4608_x21_how:k5,  0.06,  0.17, * -------           |                   ,  0.00,  3.56
 0, st:0.5_m:100_rows:4608_x21_how:k5,  0.07,  0.16, *-------            |                   ,  0.00,  2.57
 0, st:0.5_m:50_rows:4608_x21_how:k3,  0.07,  0.23, * -------           |                   ,  0.00,  2.85
 0, st:0.25_m:100_rows:4608_x21_how:k5,  0.08,  0.19, * -------           |                   ,  0.00,  1.97
 0, st:0.25_m:50_rows:4608_x21_how:k3,  0.09,  0.23, * ------            |                   ,  0.00,  2.25
#
 1, st:0.5_m:50_rows:4608_x21_how:k5,  0.15,  0.31,  * ------           |                   ,  0.00,  2.73
 1, st:0.5_m:0_rows:4608_x21_how:avearge,  0.16,  0.28,  * ----------       |                   ,  0.00,  2.84
 1, st:0.25_m:0_rows:4608_x21_how:avearge,  0.16,  0.30,  * -------          |                   ,  0.00,  2.79
 1, st:0.25_m:50_rows:4608_x21_how:k5,  0.18,  0.31,  * -------          |                   ,  0.00,  2.84
 1, st:0.25_m:100_rows:4608_x21_how:avearge,  0.23,  0.42,   *  -------        |                   ,  0.00,  3.27
#
 2, st:0.5_m:100_rows:4608_x21_how:avearge,  0.36,  0.59, -  *   ---------    |                   ,  0.00,  3.77
 2, st:0.5_m:50_rows:4608_x21_how:avearge,  0.44,  0.70, --  *    ------     |                   ,  0.00,  3.70
 2, st:0.25_m:50_rows:4608_x21_how:avearge,  0.48,  0.72, --   *    ------    |                   ,  0.00,  3.07
