		 data/config/SS-V.csv 		
#
 0, st:0.5_m:0_rows:6840_x16_how:k3,  0.07,  0.09, *---                |                   ,  0.00,  2.47
 0, st:0.5_m:0_rows:6840_x16_how:k2,  0.08,  0.10, *---                |                   ,  0.00,  2.39
 0, st:0.25_m:0_rows:6840_x16_how:k2,  0.08,  0.09, *---                |                   ,  0.00,  2.04
 0, st:0.5_m:0_rows:6840_x16_how:k5,  0.08,  0.12, *----               |                   ,  0.00,  2.54
 0, st:0.25_m:0_rows:6840_x16_how:k3,  0.08,  0.11, *-----              |                   ,  0.00,  2.34
 0, st:0.25_m:0_rows:6840_x16_how:k5,  0.09,  0.11,  *---               |                   ,  0.00,  1.90
 0, st:0.25_m:100_rows:6840_x16_how:k3,  0.12,  0.37,  *  --------        |                   ,  0.00,  2.32
 0, st:0.25_m:100_rows:6840_x16_how:k2,  0.12,  0.31,  *  --------        |                   ,  0.00,  2.63
 0, st:0.5_m:100_rows:6840_x16_how:k2,  0.13,  0.29,  * ----------       |                   ,  0.00,  2.40
 0, st:0.25_m:50_rows:6840_x16_how:k2,  0.15,  0.52,  *    --------      |                   ,  0.00,  3.17
 0, st:0.5_m:50_rows:6840_x16_how:k2,  0.17,  0.50,  *    -------       |                   ,  0.00,  3.26
#
 1, st:0.5_m:100_rows:6840_x16_how:k3,  0.20,  0.47,   *   ---------     |                   ,  0.00,  2.98
 1, st:0.5_m:100_rows:6840_x16_how:k5,  0.22,  0.41,   *  -------        |                   ,  0.00,  3.54
 1, st:0.5_m:50_rows:6840_x16_how:k3,  0.23,  0.44,   *  --------       |                   ,  0.00,  2.96
 1, st:0.25_m:50_rows:6840_x16_how:k3,  0.25,  0.53,   *   -------       |                   ,  0.00,  2.69
 1, st:0.25_m:100_rows:6840_x16_how:k5,  0.25,  0.45, - *   --------      |                   ,  0.00,  2.77
#
 2, st:0.25_m:50_rows:6840_x16_how:k5,  0.31,  0.45, -  *  --------      |                   ,  0.00,  3.07
 2, st:0.25_m:0_rows:6840_x16_how:avearge,  0.34,  0.55, -  *   --------     |                   ,  0.00,  2.59
 2, st:0.5_m:0_rows:6840_x16_how:avearge,  0.35,  0.55, -  *   --------     |                   ,  0.00,  2.17
 2, st:0.5_m:50_rows:6840_x16_how:k5,  0.36,  0.49, -   *  ------       |                   ,  0.00,  2.92
#
 3, st:0.25_m:100_rows:6840_x16_how:avearge,  0.52,  0.63, --   *   --------   |                   ,  0.00,  2.63
 3, st:0.5_m:100_rows:6840_x16_how:avearge,  0.55,  0.64, ---   *   --------  |                   ,  0.00,  3.08
 3, st:0.25_m:50_rows:6840_x16_how:avearge,  0.59,  0.71, ---   *    ------   |                   ,  0.00,  3.30
 3, st:0.5_m:50_rows:6840_x16_how:avearge,  0.61,  0.71, ---   *    ------   |                   ,  0.01,  2.75
