		 data/misc/Wine_quality.csv 		
#
 0, st:0.25_m:0_rows:1599_x10_how:k2,  0.18,  0.61,  *  ------          |                   ,  0.00,  3.71
 0, st:0.5_m:0_rows:1599_x10_how:k3,  0.23,  0.56,  *  ------          |                   ,  0.00,  3.71
 0, st:0.5_m:0_rows:1599_x10_how:k2,  0.24,  0.70,  *   -----          |                   ,  0.00,  4.46
 0, st:0.5_m:0_rows:1599_x10_how:k5,  0.27,  0.60,   * ------          |                   ,  0.00,  4.25
 0, st:0.25_m:0_rows:1599_x10_how:k5,  0.27,  0.63,   *  -----          |                   ,  0.00,  3.43
 0, st:0.25_m:0_rows:1599_x10_how:k3,  0.29,  0.63,   *  -----          |                   ,  0.00,  2.99
 0, st:0.5_m:100_rows:1599_x10_how:k3,  0.35,  0.74,   *   ----          |                   ,  0.00,  3.37
 0, st:0.25_m:100_rows:1599_x10_how:k3,  0.37,  0.77,    *  ----          |                   ,  0.00,  3.35
 0, st:0.25_m:100_rows:1599_x10_how:k5,  0.40,  0.68,    *  -----         |                   ,  0.00,  4.47
#
 1, st:0.5_m:100_rows:1599_x10_how:k5,  0.42,  0.65, -  *  ----          |                   ,  0.00,  4.04
 1, st:0.5_m:50_rows:1599_x10_how:k5,  0.42,  0.52, -  * -----          |                   ,  0.00,  2.87
 1, st:0.25_m:50_rows:1599_x10_how:k3,  0.45,  0.65, -  *  ----          |                   ,  0.00,  3.71
 1, st:0.5_m:100_rows:1599_x10_how:k2,  0.47,  0.87,    *   -----        |                   ,  0.00,  4.95
 1, st:0.25_m:100_rows:1599_x10_how:k2,  0.47,  0.88,    *   -----        |                   ,  0.00,  3.71
 1, st:0.25_m:50_rows:1599_x10_how:k5,  0.49,  0.65, -  *  -----         |                   ,  0.00,  3.64
 1, st:0.5_m:50_rows:1599_x10_how:k3,  0.53,  0.70, -   *  -----        |                   ,  0.00,  3.13
 1, st:0.25_m:50_rows:1599_x10_how:k2,  0.54,  0.82,     *  ---          |                   ,  0.00,  3.71
 1, st:0.5_m:50_rows:1599_x10_how:avearge,  0.56,  0.62, --  *  ----         |                   ,  0.00,  3.47
 1, st:0.5_m:50_rows:1599_x10_how:k2,  0.56,  0.84, -   *   ---         |                   ,  0.00,  3.71
 1, st:0.25_m:0_rows:1599_x10_how:avearge,  0.56,  0.48,  -  * -----         |                   ,  0.00,  3.18
 1, st:0.25_m:100_rows:1599_x10_how:avearge,  0.58,  0.55, --  *  ----         |                   ,  0.00,  3.61
 1, st:0.5_m:0_rows:1599_x10_how:avearge,  0.58,  0.54, --  *  -----        |                   ,  0.00,  3.71
 1, st:0.5_m:100_rows:1599_x10_how:avearge,  0.59,  0.58, --  *  -----        |                   ,  0.00,  3.10
 1, st:0.25_m:50_rows:1599_x10_how:avearge,  0.62,  0.55,  --  * ----         |                   ,  0.00,  2.98
