		 data/config/X264_AllMeasurements.csv 		
#
 0, st:0.25_m:50_rows:1152_x16_how:k2,  0.14,  0.25,  * -----            |                   ,  0.00,  2.26
 0, st:0.5_m:50_rows:1152_x16_how:k3,  0.14,  0.24,  * -----            |                   ,  0.00,  2.38
 0, st:0.5_m:0_rows:1152_x16_how:k5,  0.14,  0.21,  * ----             |                   ,  0.00,  2.21
 0, st:0.25_m:100_rows:1152_x16_how:k2,  0.14,  0.26,  * ----             |                   ,  0.00,  3.14
 0, st:0.25_m:0_rows:1152_x16_how:k3,  0.14,  0.17,  *----              |                   ,  0.00,  2.55
 0, st:0.5_m:0_rows:1152_x16_how:k2,  0.14,  0.21,  * ----             |                   ,  0.00,  3.13
 0, st:0.25_m:100_rows:1152_x16_how:k3,  0.15,  0.23,  * -----            |                   ,  0.00,  2.47
 0, st:0.25_m:0_rows:1152_x16_how:k2,  0.15,  0.21,  * ----             |                   ,  0.00,  2.99
 0, st:0.5_m:50_rows:1152_x16_how:k2,  0.16,  0.25,  * -----            |                   ,  0.00,  2.79
 0, st:0.5_m:50_rows:1152_x16_how:k5,  0.16,  0.23,  * -----            |                   ,  0.00,  2.78
 0, st:0.25_m:100_rows:1152_x16_how:k5,  0.16,  0.26,  * -----            |                   ,  0.00,  3.20
 0, st:0.5_m:100_rows:1152_x16_how:k5,  0.16,  0.22,  * -----            |                   ,  0.00,  2.84
 0, st:0.5_m:100_rows:1152_x16_how:k3,  0.16,  0.23,  * -----            |                   ,  0.00,  3.03
 0, st:0.25_m:50_rows:1152_x16_how:k3,  0.17,  0.25, - * ----            |                   ,  0.00,  2.42
 0, st:0.25_m:50_rows:1152_x16_how:k5,  0.17,  0.23, - *----             |                   ,  0.00,  2.31
 0, st:0.5_m:100_rows:1152_x16_how:k2,  0.17,  0.28,   * ----            |                   ,  0.00,  3.11
 0, st:0.25_m:0_rows:1152_x16_how:k5,  0.18,  0.25, - * ----            |                   ,  0.00,  3.19
 0, st:0.5_m:0_rows:1152_x16_how:k3,  0.18,  0.24,   *-----            |                   ,  0.00,  2.98
 0, st:0.5_m:0_rows:1152_x16_how:avearge,  0.21,  0.31, - * --------        |                   ,  0.00,  2.54
 0, st:0.5_m:100_rows:1152_x16_how:avearge,  0.23,  0.37, - *  ---------      |                   ,  0.00,  3.23
 0, st:0.25_m:0_rows:1152_x16_how:avearge,  0.24,  0.33, - *  -----          |                   ,  0.00,  3.06
 0, st:0.25_m:100_rows:1152_x16_how:avearge,  0.28,  0.39, -  *  -------       |                   ,  0.00,  2.53
 0, st:0.5_m:50_rows:1152_x16_how:avearge,  0.28,  0.55, -  *    -------     |                   ,  0.00,  3.34
 0, st:0.25_m:50_rows:1152_x16_how:avearge,  0.33,  0.48, -- *   --------     |                   ,  0.00,  2.74
