		 data/misc/auto93.csv 		
#
 0, st:0.25_m:0_rows:398_x4_how:k3,  0.27,  0.48, - *   ------        |                   ,  0.00,  2.62
 0, st:0.25_m:0_rows:398_x4_how:k2,  0.27,  0.52,   *   ------        |                   ,  0.00,  3.35
 0, st:0.5_m:0_rows:398_x4_how:k2,  0.27,  0.53,   *   ------        |                   ,  0.00,  2.90
 0, st:0.5_m:100_rows:398_x4_how:k3,  0.29,  0.51,    *  ------        |                   ,  0.00,  3.52
 0, st:0.25_m:100_rows:398_x4_how:k3,  0.29,  0.54,    *  ------        |                   ,  0.00,  3.53
 0, st:0.5_m:50_rows:398_x4_how:k2,  0.30,  0.61,    *   -----        |                   ,  0.00,  3.32
 0, st:0.25_m:50_rows:398_x4_how:k2,  0.30,  0.52,    *  ------        |                   ,  0.00,  3.77
 0, st:0.25_m:50_rows:398_x4_how:k3,  0.30,  0.58, -  *   -----        |                   ,  0.00,  3.42
 0, st:0.5_m:0_rows:398_x4_how:k5,  0.33,  0.54, -  *   -----        |                   ,  0.00,  2.81
 0, st:0.5_m:0_rows:398_x4_how:k3,  0.33,  0.44, -  * -------        |                   ,  0.00,  2.40
 0, st:0.5_m:100_rows:398_x4_how:k2,  0.33,  0.62, -  *   -----        |                   ,  0.00,  3.12
 0, st:0.5_m:50_rows:398_x4_how:k5,  0.33,  0.57, -  *   -----        |                   ,  0.00,  2.62
 0, st:0.5_m:50_rows:398_x4_how:k3,  0.33,  0.53, -  *  ------        |                   ,  0.00,  3.44
 0, st:0.25_m:0_rows:398_x4_how:k5,  0.34,  0.57, -  *   -----        |                   ,  0.00,  3.27
 0, st:0.25_m:100_rows:398_x4_how:k2,  0.35,  0.63, -  *   -----        |                   ,  0.00,  2.61
 0, st:0.5_m:100_rows:398_x4_how:k5,  0.35,  0.58, -  *   -----        |                   ,  0.00,  2.42
 0, st:0.25_m:100_rows:398_x4_how:k5,  0.36,  0.60, -  *   -----        |                   ,  0.00,  3.50
 0, st:0.5_m:100_rows:398_x4_how:avearge,  0.37,  0.49, -  *   -----        |                   ,  0.00,  3.26
 0, st:0.25_m:100_rows:398_x4_how:avearge,  0.38,  0.48, -  *  ------        |                   ,  0.00,  2.99
 0, st:0.25_m:50_rows:398_x4_how:k5,  0.38,  0.60, -  *   -----        |                   ,  0.00,  3.42
 0, st:0.5_m:50_rows:398_x4_how:avearge,  0.38,  0.45, -   * ------        |                   ,  0.00,  2.98
 0, st:0.25_m:50_rows:398_x4_how:avearge,  0.39,  0.44, --  * -----         |                   ,  0.00,  2.97
 0, st:0.5_m:0_rows:398_x4_how:avearge,  0.39,  0.37, --  * ----          |                   ,  0.00,  3.46
 0, st:0.25_m:0_rows:398_x4_how:avearge,  0.39,  0.43, --  * -----         |                   ,  0.00,  2.95
