		 data/process/coc1000.csv 		
#
 0, st:0.25_m:0_rows:1000_x17_how:k5,  0.59,  0.63, -- *  -----         |                   ,  0.00,  3.40
 0, st:0.5_m:0_rows:1000_x17_how:k3,  0.65,  0.76, --  *  -----        |                   ,  0.00,  5.00
 0, st:0.25_m:50_rows:1000_x17_how:k5,  0.66,  0.73, --  *  ----         |                   ,  0.00,  4.41
 0, st:0.25_m:0_rows:1000_x17_how:k3,  0.67,  0.68, --  *  ----         |                   ,  0.00,  3.66
 0, st:0.25_m:100_rows:1000_x17_how:k5,  0.67,  0.87, --  *   -----       |                   ,  0.00,  4.40
 0, st:0.5_m:100_rows:1000_x17_how:k5,  0.68,  0.73, --  *  -----        |                   ,  0.00,  5.17
 0, st:0.5_m:0_rows:1000_x17_how:k2,  0.68,  0.77, --  *  ----         |                   ,  0.00,  3.93
 0, st:0.5_m:50_rows:1000_x17_how:avearge,  0.69,  0.66, --  *  ----         |                   ,  0.00,  5.80
 0, st:0.5_m:50_rows:1000_x17_how:k5,  0.70,  0.69, --  * ------        |                   ,  0.00,  4.56
 0, st:0.5_m:100_rows:1000_x17_how:avearge,  0.71,  0.66, --  * ----          |                   ,  0.00,  5.30
 0, st:0.25_m:100_rows:1000_x17_how:avearge,  0.72,  0.76, --  *  -----        |                   ,  0.00,  4.34
 0, st:0.5_m:0_rows:1000_x17_how:k5,  0.72,  0.59,  -  * -----         |                   ,  0.00,  4.87
 0, st:0.25_m:50_rows:1000_x17_how:avearge,  0.75,  0.65, --  *  ---          |                   ,  0.01,  3.98
 0, st:0.5_m:100_rows:1000_x17_how:k3,  0.78,  0.73, --   * -----        |                   ,  0.00,  3.75
 0, st:0.25_m:100_rows:1000_x17_how:k2,  0.79,  0.78, --   * ------       |                   ,  0.00,  5.54
 0, st:0.25_m:50_rows:1000_x17_how:k2,  0.79,  0.85, --   *  -----       |                   ,  0.00,  4.96
 0, st:0.5_m:50_rows:1000_x17_how:k2,  0.80,  0.69, --   * ------       |                   ,  0.00,  5.18
 0, st:0.25_m:50_rows:1000_x17_how:k3,  0.81,  0.76,  --  *  ----        |                   ,  0.00,  4.80
 0, st:0.5_m:100_rows:1000_x17_how:k2,  0.81,  0.75, --   * -----        |                   ,  0.00,  6.04
 0, st:0.25_m:0_rows:1000_x17_how:k2,  0.81,  0.82, --   *  ----        |                   ,  0.00,  3.75
 0, st:0.5_m:50_rows:1000_x17_how:k3,  0.81,  0.73, --   * -----        |                   ,  0.00,  3.15
 0, st:0.25_m:0_rows:1000_x17_how:avearge,  0.81,  0.64, ---  * ----         |                   ,  0.00,  4.25
 0, st:0.5_m:0_rows:1000_x17_how:avearge,  0.83,  0.62,  --  * ----         |                   ,  0.00,  5.02
 0, st:0.25_m:100_rows:1000_x17_how:k3,  0.84,  0.75, ---  *  -----       |                   ,  0.00,  4.93
