		 data/hpo/healthCloseIsses12mths0001-hard.csv 		
#
 0, st:0.5_m:0_rows:10000_x5_how:k2,  0.05,  0.24, *-----              |                   ,  0.00,  6.91
 0, st:0.25_m:100_rows:10000_x5_how:k2,  0.06,  0.20, *-----              |                   ,  0.00,  3.09
 0, st:0.5_m:50_rows:10000_x5_how:k2,  0.07,  0.23, *------             |                   ,  0.00,  2.77
 0, st:0.25_m:50_rows:10000_x5_how:k2,  0.07,  0.20, *----               |                   ,  0.00,  5.44
 0, st:0.25_m:0_rows:10000_x5_how:k2,  0.07,  0.23, *-----              |                   ,  0.00,  3.60
 0, st:0.5_m:100_rows:10000_x5_how:k2,  0.08,  0.21, *-----              |                   ,  0.00,  2.80
 0, st:0.5_m:50_rows:10000_x5_how:k3,  0.09,  0.24, *------             |                   ,  0.00,  2.77
 0, st:0.5_m:0_rows:10000_x5_how:k3,  0.09,  0.30, *-----              |                   ,  0.00,  6.30
 0, st:0.5_m:100_rows:10000_x5_how:k3,  0.09,  0.24, *-----              |                   ,  0.00,  4.07
 0, st:0.25_m:50_rows:10000_x5_how:k3,  0.09,  0.24, *------             |                   ,  0.00,  2.77
 0, st:0.25_m:100_rows:10000_x5_how:k3,  0.09,  0.28, *------             |                   ,  0.00,  2.81
 0, st:0.5_m:50_rows:10000_x5_how:k5,  0.10,  0.29, *-----              |                   ,  0.00,  2.77
 0, st:0.25_m:100_rows:10000_x5_how:k5,  0.10,  0.23, *----               |                   ,  0.00,  2.77
 0, st:0.5_m:0_rows:10000_x5_how:k5,  0.11,  0.25, *----               |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:10000_x5_how:k5,  0.11,  0.25, *-----              |                   ,  0.00,  2.77
 0, st:0.25_m:0_rows:10000_x5_how:k3,  0.12,  0.24, *-----              |                   ,  0.00,  2.77
 0, st:0.25_m:0_rows:10000_x5_how:k5,  0.12,  0.26, *-----              |                   ,  0.00,  2.77
 0, st:0.5_m:0_rows:10000_x5_how:avearge,  0.12,  0.28, *----               |                   ,  0.00,  2.61
 0, st:0.25_m:50_rows:10000_x5_how:k5,  0.13,  0.29, *-----              |                   ,  0.00,  7.18
 0, st:0.25_m:100_rows:10000_x5_how:avearge,  0.14,  0.29, *----               |                   ,  0.00,  2.77
 0, st:0.25_m:50_rows:10000_x5_how:avearge,  0.14,  0.32, *----               |                   ,  0.00,  2.77
 0, st:0.5_m:100_rows:10000_x5_how:avearge,  0.16,  0.37, * ----              |                   ,  0.00,  3.07
 0, st:0.25_m:0_rows:10000_x5_how:avearge,  0.16,  0.28, *----               |                   ,  0.00,  2.77
 0, st:0.5_m:50_rows:10000_x5_how:avearge,  0.19,  0.31,  *--                |                   ,  0.00,  2.46
