		 data/process/nasa93dem.csv 		
#
 0, st:0.5_m:50_rows:93_x22_how:k3,  0.22,  0.40,  *-----             |                   ,  0.00,  7.59
 0, st:0.25_m:100_rows:93_x22_how:k2,  0.25,  0.37,  *---               |                   ,  0.00,  5.78
 0, st:0.25_m:100_rows:93_x22_how:k3,  0.25,  0.40,  *----              |                   ,  0.00,  7.46
 0, st:0.25_m:0_rows:93_x22_how:k3,  0.25,  0.35,  *---               |                   ,  0.00,  5.78
 0, st:0.5_m:50_rows:93_x22_how:avearge,  0.25,  0.39,  *---               |                   ,  0.00,  7.87
 0, st:0.25_m:100_rows:93_x22_how:avearge,  0.25,  0.36,  *----              |                   ,  0.00,  7.65
 0, st:0.25_m:50_rows:93_x22_how:avearge,  0.26,  0.43,  *---               |                   ,  0.00,  7.94
 0, st:0.5_m:0_rows:93_x22_how:k2,  0.26,  0.35,  *----              |                   ,  0.00,  8.20
 0, st:0.5_m:100_rows:93_x22_how:k2,  0.26,  0.39,  *---               |                   ,  0.00,  2.62
 0, st:0.5_m:100_rows:93_x22_how:k3,  0.26,  0.49,  *----              |                   ,  0.00,  8.01
 0, st:0.5_m:100_rows:93_x22_how:k5,  0.26,  0.41,  *---               |                   ,  0.00,  8.05
 0, st:0.25_m:50_rows:93_x22_how:k5,  0.26,  0.37,  *---               |                   ,  0.00,  5.78
 0, st:0.25_m:50_rows:93_x22_how:k3,  0.27,  0.47,  *----              |                   ,  0.00,  8.13
 0, st:0.25_m:0_rows:93_x22_how:k2,  0.27,  0.46,  *----              |                   ,  0.00,  5.67
 0, st:0.5_m:100_rows:93_x22_how:avearge,  0.28,  0.39,  *---               |                   ,  0.00,  4.97
 0, st:0.5_m:0_rows:93_x22_how:k5,  0.28,  0.42,  *----              |                   ,  0.00,  8.16
 0, st:0.5_m:50_rows:93_x22_how:k5,  0.28,  0.44,  *----              |                   ,  0.00,  5.78
 0, st:0.25_m:0_rows:93_x22_how:k5,  0.28,  0.43,  *----              |                   ,  0.00,  7.68
 0, st:0.5_m:0_rows:93_x22_how:k3,  0.29,  0.41,  *---               |                   ,  0.00,  7.51
 0, st:0.5_m:50_rows:93_x22_how:k2,  0.29,  0.53,  * ---              |                   ,  0.00,  5.67
 0, st:0.25_m:100_rows:93_x22_how:k5,  0.30,  0.54,  * ----             |                   ,  0.00,  7.97
 0, st:0.25_m:50_rows:93_x22_how:k2,  0.32,  0.57,  * ----             |                   ,  0.00,  7.35
 0, st:0.5_m:0_rows:93_x22_how:avearge,  0.41,  0.47,  * --               |                   ,  0.00,  7.02
 0, st:0.25_m:0_rows:93_x22_how:avearge,  0.47,  0.45, - *--               |                   ,  0.00,  7.38
