		 data/process/pom3a.csv 		
#
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.53,  0.51,  --   *  ------     |                   ,  0.00,  2.68
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.55,  0.56,  --   *  --------   |                   ,  0.00,  3.32
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.57,  0.53,  --   *  --------   |                   ,  0.00,  3.44
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.57,  0.59, ---   *   -------   |                   ,  0.00,  2.83
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.58,  0.61,  --   *   -------   |                   ,  0.00,  2.90
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.59,  0.55,  --   *   -------   |                   ,  0.00,  2.98
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.59,  0.77, ---   *     --------|                   ,  0.00,  3.24
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.60,  0.70,  --   *    ---------|                   ,  0.00,  3.50
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.60,  0.61, ---   *   --------  |                   ,  0.00,  2.83
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.63,  0.56,  ---   *  --------  |                   ,  0.00,  3.06
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.63,  0.71, ---    *   -------- |                   ,  0.00,  3.37
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.64,  0.69, ---    *   ---------|                   ,  0.00,  3.50
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.65,  0.69,  ---   *    -----   |                   ,  0.01,  2.66
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.66,  0.73,  ---   *    --------|                   ,  0.00,  3.03
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.66,  0.63,  ---   *   -------  |                   ,  0.00,  2.95
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.67,  0.68,  ---   *    ------  |                   ,  0.00,  2.99
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.68,  0.74,  ---   *    --------|                   ,  0.00,  3.34
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.68,  0.69,  ---   *    --------|                   ,  0.00,  3.06
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.69,  0.60,  ---   *   ------   |                   ,  0.00,  2.51
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.70,  0.60,  ---   *   ------   |                   ,  0.00,  2.64
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.72,  0.62,  ---    *  -------  |                   ,  0.00,  3.38
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.72,  0.61,  ----   *   ------  |                   ,  0.01,  2.88
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.75,  0.71,  ---    *   ------- |                   ,  0.00,  3.08
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.75,  0.76,  ---    *   --------|-                  ,  0.00,  3.05
