		 data/process/pom3b.csv 		
#
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.26,  0.75,   *    ---------    |                   ,  0.00,  3.18
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.31,  0.89,    *     -------    |                   ,  0.00,  3.07
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.32,  0.83,    *    -------     |                   ,  0.00,  2.63
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.33,  0.86,    *    -------     |                   ,  0.00,  3.14
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.33,  0.79,    *    -------     |                   ,  0.00,  3.52
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.34,  0.90,    *     -----------|                   ,  0.00,  3.12
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.35,  0.77,    *   -------      |                   ,  0.00,  2.94
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.35,  0.86,    *    ----------  |                   ,  0.00,  3.23
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.35,  0.89,    *     ---------  |                   ,  0.00,  3.15
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.35,  0.80,    *    ------      |                   ,  0.00,  2.57
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.36,  0.89,    *     ------     |                   ,  0.00,  2.90
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.36,  0.90,    *     ---------- |                   ,  0.00,  3.86
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.36,  0.83,    *    ---------   |                   ,  0.00,  3.23
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.37,  0.84,    *    ---------   |                   ,  0.00,  3.37
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.37,  0.89,    *     ---------  |                   ,  0.00,  2.92
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.38,  0.89,    *     --------   |                   ,  0.00,  3.19
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.39,  0.85,    *    ---------   |                   ,  0.00,  3.02
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.39,  0.79,     *   -------     |                   ,  0.00,  2.73
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.40,  0.90,     *    ------     |                   ,  0.00,  2.78
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.40,  0.78,     *   ------      |                   ,  0.00,  2.49
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.40,  0.95,     *    ---------  |                   ,  0.00,  3.76
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.41,  0.83,     *   -------     |                   ,  0.00,  2.82
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.41,  1.03,     *     --------  |                   ,  0.00,  3.23
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.41,  0.86,     *   ------      |                   ,  0.00,  3.08
