		 data/process/pom3d.csv 		
#
 0, st:0.25_m:0_rows:500_x9_how:k3,  0.49,  0.57,  *--                |                   ,  0.00,  3.29
 0, st:0.25_m:0_rows:500_x9_how:k5,  0.51,  0.54,  *--                |                   ,  0.00,  3.50
 0, st:0.5_m:0_rows:500_x9_how:k5,  0.55,  0.55,  *--                |                   ,  0.00,  4.40
 0, st:0.25_m:0_rows:500_x9_how:k2,  0.55,  0.63,  *---               |                   ,  0.00,  6.43
 0, st:0.5_m:0_rows:500_x9_how:k3,  0.56,  0.61,  *---               |                   ,  0.00,  6.62
 0, st:0.5_m:100_rows:500_x9_how:k2,  0.56,  0.62, -* --               |                   ,  0.00, 12.77
 0, st:0.5_m:100_rows:500_x9_how:k5,  0.56,  0.66,  *---               |                   ,  0.00,  3.71
 0, st:0.5_m:50_rows:500_x9_how:k5,  0.59,  0.65,  * -                |                   ,  0.00,  2.99
 0, st:0.5_m:50_rows:500_x9_how:k3,  0.60,  0.65,  *---               |                   ,  0.00,  3.32
 0, st:0.25_m:50_rows:500_x9_how:k5,  0.60,  0.63, -* --               |                   ,  0.00, 10.91
 0, st:0.5_m:100_rows:500_x9_how:k3,  0.61,  0.69,  * --               |                   ,  0.00,  2.94
 0, st:0.25_m:50_rows:500_x9_how:k3,  0.61,  0.67, -* --               |                   ,  0.00,  3.56
 0, st:0.25_m:100_rows:500_x9_how:avearge,  0.64,  0.65, - *--               |                   ,  0.00, 12.21
 0, st:0.25_m:100_rows:500_x9_how:k2,  0.65,  0.68, - *--               |                   ,  0.00,  7.73
 0, st:0.5_m:0_rows:500_x9_how:avearge,  0.65,  0.62, - *-                |                   ,  0.01, 12.15
 0, st:0.25_m:100_rows:500_x9_how:k5,  0.65,  0.64, - *--               |                   ,  0.00, 11.53
 0, st:0.25_m:0_rows:500_x9_how:avearge,  0.66,  0.62, - *-                |                   ,  0.01, 12.06
 0, st:0.5_m:50_rows:500_x9_how:k2,  0.66,  0.68, - *--               |                   ,  0.00,  3.29
 0, st:0.25_m:100_rows:500_x9_how:k3,  0.66,  0.64, - *--               |                   ,  0.00,  3.97
 0, st:0.25_m:50_rows:500_x9_how:k2,  0.67,  0.82, - *--               |                   ,  0.00,  6.47
 0, st:0.5_m:100_rows:500_x9_how:avearge,  0.68,  0.68, - *-                |                   ,  0.00,  2.91
 0, st:0.5_m:0_rows:500_x9_how:k2,  0.68,  0.68, - *--               |                   ,  0.00,  7.94
 0, st:0.25_m:50_rows:500_x9_how:avearge,  0.68,  0.67, - *-                |                   ,  0.00,  3.58
 0, st:0.5_m:50_rows:500_x9_how:avearge,  0.69,  0.68, - *--               |                   ,  0.00, 10.92
