		 data/misc/rs-6d-c3_obj1.csv 		
#
 0, st:0.25_m:100_rows:3840_x6_how:k2,  0.17,  0.27,   * ---------       |                   ,  0.00,  3.23
 0, st:0.25_m:100_rows:3840_x6_how:k3,  0.17,  0.31,   * ------          |                   ,  0.00,  2.99
 0, st:0.25_m:0_rows:3840_x6_how:k2,  0.17,  0.31,   * ------          |                   ,  0.00,  3.19
 0, st:0.5_m:100_rows:3840_x6_how:k2,  0.17,  0.28,   * --------        |                   ,  0.00,  3.03
 0, st:0.25_m:0_rows:3840_x6_how:k5,  0.18,  0.28,   * -----           |                   ,  0.00,  3.09
 0, st:0.5_m:0_rows:3840_x6_how:k3,  0.18,  0.29,   * -----           |                   ,  0.00,  2.53
 0, st:0.25_m:50_rows:3840_x6_how:k2,  0.18,  0.33,   * ----------      |                   ,  0.00,  3.03
 0, st:0.5_m:50_rows:3840_x6_how:k3,  0.19,  0.27, - * -------         |                   ,  0.00,  3.05
 0, st:0.5_m:0_rows:3840_x6_how:k2,  0.19,  0.31,   * ------          |                   ,  0.00,  3.21
 0, st:0.5_m:50_rows:3840_x6_how:k2,  0.20,  0.29,   * ----------      |                   ,  0.00,  3.17
 0, st:0.25_m:50_rows:3840_x6_how:k3,  0.20,  0.30, - * ----------      |                   ,  0.00,  2.97
 0, st:0.5_m:0_rows:3840_x6_how:k5,  0.20,  0.31,   * -------         |                   ,  0.00,  2.85
 0, st:0.25_m:0_rows:3840_x6_how:k3,  0.20,  0.28, - * -----           |                   ,  0.00,  2.35
 0, st:0.5_m:100_rows:3840_x6_how:k5,  0.21,  0.29, - * --------        |                   ,  0.00,  2.79
 0, st:0.5_m:100_rows:3840_x6_how:k3,  0.21,  0.31,   * ------          |                   ,  0.00,  3.05
 0, st:0.25_m:100_rows:3840_x6_how:k5,  0.23,  0.29, - * -------         |                   ,  0.00,  2.88
 0, st:0.25_m:50_rows:3840_x6_how:k5,  0.23,  0.27, - * -------         |                   ,  0.00,  2.86
 0, st:0.5_m:50_rows:3840_x6_how:k5,  0.24,  0.36, - *  --------       |                   ,  0.00,  3.08
 0, st:0.25_m:0_rows:3840_x6_how:avearge,  0.26,  0.36, -  *  -------       |                   ,  0.00,  2.44
 0, st:0.5_m:0_rows:3840_x6_how:avearge,  0.29,  0.49, -  *   ---------    |                   ,  0.00,  2.67
 0, st:0.25_m:100_rows:3840_x6_how:avearge,  0.32,  0.47, --  *  ----------   |                   ,  0.00,  2.60
 0, st:0.5_m:100_rows:3840_x6_how:avearge,  0.33,  0.42, --  *  ------       |                   ,  0.00,  2.32
 0, st:0.5_m:50_rows:3840_x6_how:avearge,  0.43,  0.52, --   *  ---------   |                   ,  0.00,  2.53
 0, st:0.25_m:50_rows:3840_x6_how:avearge,  0.48,  0.53,  --  *    -------   |                   ,  0.00,  2.62
