		 data/misc/sol-6d-c2-obj1.csv 		
#
 0, st:0.25_m:0_rows:2866_x6_how:k2,  0.07,  0.29, * -----             |                   ,  0.00,  2.89
 0, st:0.5_m:0_rows:2866_x6_how:k2,  0.08,  0.39, *  ------           |                   ,  0.00,  2.03
 0, st:0.5_m:0_rows:2866_x6_how:k3,  0.09,  0.39, *  -----            |                   ,  0.00,  2.57
 0, st:0.5_m:0_rows:2866_x6_how:k5,  0.09,  0.31, *  -----            |                   ,  0.00,  3.16
 0, st:0.25_m:0_rows:2866_x6_how:k3,  0.09,  0.34, *  -----            |                   ,  0.00,  2.51
 0, st:0.25_m:0_rows:2866_x6_how:k5,  0.09,  0.41, *  ------           |                   ,  0.00,  2.21
 0, st:0.5_m:100_rows:2866_x6_how:k2,  0.17,  0.48,  *  -------         |                   ,  0.00,  3.56
 0, st:0.25_m:100_rows:2866_x6_how:k3,  0.20,  0.62,  *   ------         |                   ,  0.00,  3.30
#
 1, st:0.25_m:100_rows:2866_x6_how:k2,  0.25,  0.58,   *  -------        |                   ,  0.00,  2.26
 1, st:0.5_m:100_rows:2866_x6_how:k5,  0.25,  0.56,   *  -----          |                   ,  0.00,  3.12
 1, st:0.25_m:100_rows:2866_x6_how:k5,  0.27,  0.62,   *   -----         |                   ,  0.00,  2.67
 1, st:0.5_m:100_rows:2866_x6_how:k3,  0.31,  0.69,   *   -----         |                   ,  0.00,  4.00
#
 2, st:0.25_m:50_rows:2866_x6_how:k5,  0.34,  0.65,    *  ------        |                   ,  0.00,  2.88
 2, st:0.5_m:50_rows:2866_x6_how:k3,  0.35,  0.65,    *  -----         |                   ,  0.00,  2.65
 2, st:0.25_m:50_rows:2866_x6_how:k2,  0.35,  0.78,    *   -----        |                   ,  0.00,  2.96
 2, st:0.5_m:50_rows:2866_x6_how:k2,  0.39,  0.66,    *  -------       |                   ,  0.00,  4.41
 2, st:0.25_m:50_rows:2866_x6_how:k3,  0.40,  0.72,    *   ----         |                   ,  0.00,  3.61
 2, st:0.5_m:50_rows:2866_x6_how:k5,  0.43,  0.71,    *   ----         |                   ,  0.00,  2.42
#
 3, st:0.5_m:0_rows:2866_x6_how:avearge,  0.57,  0.55, --   * ----         |                   ,  0.00,  3.37
 3, st:0.25_m:0_rows:2866_x6_how:avearge,  0.59,  0.62, --   *  ----        |                   ,  0.00,  2.93
 3, st:0.5_m:100_rows:2866_x6_how:avearge,  0.63,  0.66, --   *  ----        |                   ,  0.00,  3.19
 3, st:0.5_m:50_rows:2866_x6_how:avearge,  0.64,  0.62, --   *  ----        |                   ,  0.00,  3.89
 3, st:0.25_m:100_rows:2866_x6_how:avearge,  0.64,  0.69, --   *  -----       |                   ,  0.00,  3.05
 3, st:0.25_m:50_rows:2866_x6_how:avearge,  0.67,  0.52, ---   * ----        |                   ,  0.00,  3.16
