		 data/misc/wc+sol-3d-c4-obj1.csv 		
#
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.43,  0.60, -  *  -----         |                   ,  0.00,  3.77
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.44,  0.56, -  *  -----         |                   ,  0.00,  2.32
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.45,  0.71, -  *   -----        |                   ,  0.00,  3.77
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.45,  0.59, -  *  -----         |                   ,  0.00,  4.81
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.46,  0.67, -  *   ----         |                   ,  0.00,  3.76
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.47,  0.69, -  *   ----         |                   ,  0.00,  3.86
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.48,  0.73, -  *   -----        |                   ,  0.00,  3.77
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.49,  0.39, --  *------         |                   ,  0.00,  2.55
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.50,  0.69, -   *  ---          |                   ,  0.00,  2.90
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.52,  0.61, --  *  -----        |                   ,  0.00,  3.46
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.53,  0.69, --  *  ----         |                   ,  0.00,  3.72
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.54,  0.67, -   *  ----         |                   ,  0.00,  3.86
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.54,  0.72, -   *  ----         |                   ,  0.00,  3.78
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.54,  0.64, -   *  ---          |                   ,  0.00,  2.91
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.55,  0.58, --  *  -----        |                   ,  0.00,  3.63
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.55,  0.71, --  *   ---         |                   ,  0.00,  3.84
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.58,  0.62, --  *  ---          |                   ,  0.00,  3.72
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.60,  0.75, --  *   ----        |                   ,  0.00,  3.77
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.61,  0.73, -    *  ---         |                   ,  0.00,  3.12
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.66,  0.71, --   *  ----        |                   ,  0.01,  3.74
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.68,  0.68, --   * ----         |                   ,  0.00,  2.91
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.69,  0.74, --   *   ---        |                   ,  0.00,  3.75
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.74,  0.62, --    *---          |                   ,  0.00,  2.99
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.74,  0.58,  --   *---          |                   ,  0.00,  2.54
