		 data/misc/wc+wc-3d-c4-obj1.csv 		
#
 0, st:0.25_m:50_rows:196_x3_how:k2,  0.44,  0.65, -  *  ----          |                   ,  0.00,  3.07
 0, st:0.5_m:50_rows:196_x3_how:k2,  0.44,  0.75, -  *   ---          |                   ,  0.00,  4.04
 0, st:0.5_m:50_rows:196_x3_how:k3,  0.46,  0.71, -  *   ---          |                   ,  0.00,  5.17
 0, st:0.25_m:100_rows:196_x3_how:k2,  0.46,  0.71, -  *   ---          |                   ,  0.00,  4.12
 0, st:0.25_m:100_rows:196_x3_how:k3,  0.46,  0.76, -  *   ----         |                   ,  0.00,  4.10
 0, st:0.25_m:0_rows:196_x3_how:avearge,  0.47,  0.52, -- *  ----          |                   ,  0.00,  2.46
 0, st:0.5_m:100_rows:196_x3_how:k2,  0.49,  0.72, -  *   ---          |                   ,  0.00,  2.99
 0, st:0.5_m:100_rows:196_x3_how:k3,  0.49,  0.76, -  *   ---          |                   ,  0.00,  4.12
 0, st:0.5_m:0_rows:196_x3_how:avearge,  0.50,  0.47, -- * ------         |                   ,  0.00,  2.43
 0, st:0.25_m:0_rows:196_x3_how:k2,  0.51,  0.70, -  *   ---          |                   ,  0.00,  2.68
 0, st:0.5_m:100_rows:196_x3_how:k5,  0.53,  0.72, --  *  ----         |                   ,  0.00,  4.12
 0, st:0.25_m:50_rows:196_x3_how:avearge,  0.54,  0.63, --  *  -----        |                   ,  0.00,  3.78
 0, st:0.5_m:50_rows:196_x3_how:avearge,  0.55,  0.65, --  *  ----         |                   ,  0.00,  2.97
 0, st:0.25_m:50_rows:196_x3_how:k3,  0.55,  0.74, -   *  ---          |                   ,  0.00,  3.89
 0, st:0.5_m:0_rows:196_x3_how:k2,  0.59,  0.68, --  *  ---          |                   ,  0.00,  2.68
 0, st:0.25_m:100_rows:196_x3_how:k5,  0.59,  0.70, --  *  ---          |                   ,  0.00,  4.04
 0, st:0.25_m:100_rows:196_x3_how:avearge,  0.60,  0.73, --  *   ---         |                   ,  0.00,  3.02
 0, st:0.25_m:50_rows:196_x3_how:k5,  0.63,  0.66, --  *  ---          |                   ,  0.00,  4.04
 0, st:0.5_m:50_rows:196_x3_how:k5,  0.67,  0.71, --   * ----         |                   ,  0.00,  4.05
 0, st:0.25_m:0_rows:196_x3_how:k3,  0.70,  0.70, --   * ---          |                   ,  0.00,  3.00
 0, st:0.5_m:100_rows:196_x3_how:avearge,  0.70,  0.73, --   *  ----        |                   ,  0.01,  4.07
 0, st:0.5_m:0_rows:196_x3_how:k3,  0.71,  0.66, --   * ---          |                   ,  0.00,  2.91
 0, st:0.5_m:0_rows:196_x3_how:k5,  0.77,  0.57,  --  * ---          |                   ,  0.00,  2.23
 0, st:0.25_m:0_rows:196_x3_how:k5,  0.81,  0.61,  --   *---          |                   ,  0.00,  2.72
