		 data/misc/wc-6d-c1-obj1.csv 		
#
 0, st:0.5_m:0_rows:2880_x6_how:k2,  0.28,  0.55,   *  ------         |                   ,  0.00,  3.78
 0, st:0.5_m:0_rows:2880_x6_how:k3,  0.29,  0.37, - * ------          |                   ,  0.00,  3.13
 0, st:0.25_m:0_rows:2880_x6_how:k3,  0.32,  0.44, - *  ------         |                   ,  0.00,  3.56
 0, st:0.25_m:0_rows:2880_x6_how:k2,  0.33,  0.57, - *  ------         |                   ,  0.00,  2.72
 0, st:0.25_m:0_rows:2880_x6_how:k5,  0.33,  0.46, - *  -----          |                   ,  0.00,  2.57
 0, st:0.5_m:0_rows:2880_x6_how:k5,  0.36,  0.50, -  *  ----          |                   ,  0.00,  3.38
 0, st:0.25_m:100_rows:2880_x6_how:k2,  0.36,  0.62, -  *  ------        |                   ,  0.00,  3.29
 0, st:0.5_m:100_rows:2880_x6_how:k5,  0.42,  0.64, -  *   ----         |                   ,  0.00,  3.84
 0, st:0.5_m:100_rows:2880_x6_how:k2,  0.42,  0.64, -  *  ------        |                   ,  0.00,  4.66
 0, st:0.25_m:100_rows:2880_x6_how:k3,  0.43,  0.71, -  *   -----        |                   ,  0.00,  3.01
 0, st:0.5_m:50_rows:2880_x6_how:k3,  0.45,  0.65, -  *   -----        |                   ,  0.00,  2.82
 0, st:0.5_m:100_rows:2880_x6_how:k3,  0.46,  0.68, -  *   -----        |                   ,  0.00,  2.55
 0, st:0.25_m:50_rows:2880_x6_how:k2,  0.46,  0.70, -  *   ----         |                   ,  0.00,  3.84
 0, st:0.25_m:100_rows:2880_x6_how:k5,  0.47,  0.70, --  *   ----        |                   ,  0.00,  3.47
 0, st:0.5_m:50_rows:2880_x6_how:k2,  0.47,  0.80, -   *   -----       |                   ,  0.00,  3.06
 0, st:0.5_m:50_rows:2880_x6_how:k5,  0.49,  0.68, --  *   -----       |                   ,  0.00,  3.45
 0, st:0.25_m:50_rows:2880_x6_how:k5,  0.49,  0.63, --  *  -----        |                   ,  0.00,  3.30
 0, st:0.25_m:50_rows:2880_x6_how:k3,  0.53,  0.70, -   *  -----        |                   ,  0.00,  3.00
 0, st:0.25_m:100_rows:2880_x6_how:avearge,  0.62,  0.53,  --  * ----         |                   ,  0.00,  3.19
 0, st:0.25_m:0_rows:2880_x6_how:avearge,  0.64,  0.46,  --  * ----         |                   ,  0.00,  3.29
 0, st:0.5_m:100_rows:2880_x6_how:avearge,  0.65,  0.53,  --  * ------       |                   ,  0.00,  4.24
 0, st:0.5_m:50_rows:2880_x6_how:avearge,  0.68,  0.55,  --  *  ----        |                   ,  0.00,  3.38
 0, st:0.5_m:0_rows:2880_x6_how:avearge,  0.69,  0.48,  --  * -----        |                   ,  0.00,  3.89
 0, st:0.25_m:50_rows:2880_x6_how:avearge,  0.70,  0.55,  --   * ----        |                   ,  0.00,  3.43
